"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
203004003,"金田 勝年","法務大臣","総務大臣"
203004005,"金田 勝年","法務大臣","外務大臣"
203004007,"金田 勝年","法務大臣","文部科学大臣"
203004008,"金田 勝年","法務大臣","厚生労働大臣"
203004011,"金田 勝年","法務大臣","国土交通大臣"
203004012,"金田 勝年","法務大臣","環境大臣"
203004013,"金田 勝年","法務大臣","防衛大臣（防衛庁長官）"
203004014,"金田 勝年","法務大臣","国家公安委員会委員長"
203004015,"金田 勝年","法務大臣","防災担当大臣"
203004016,"金田 勝年","法務大臣","行政改革担当大臣
（行政刷新担当大臣）"
203004017,"金田 勝年","法務大臣","沖縄及び北方対策担当大臣"
203004019,"金田 勝年","法務大臣","経済財政政策担当大臣"
203004020,"金田 勝年","法務大臣","科学技術政策担当大臣"
203004021,"金田 勝年","法務大臣","規制改革担当大臣"
203004022,"金田 勝年","法務大臣","男女共同参画担当大臣"
203004024,"金田 勝年","法務大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
203004028,"金田 勝年","法務大臣","少子化対策担当大臣"
203004029,"金田 勝年","法務大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
203004039,"金田 勝年","法務大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
203004040,"金田 勝年","法務大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
203004043,"金田 勝年","法務大臣","海洋政策担当大臣"
203004044,"金田 勝年","法務大臣","拉致問題担当大臣"
203004045,"金田 勝年","法務大臣","再チャレンジ担当大臣"
203004048,"金田 勝年","法務大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
203004061,"金田 勝年","法務大臣","原子力防災担当大臣"
203004062,"金田 勝年","法務大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
203004066,"金田 勝年","法務大臣","東京オリンピック・パラリンピック担当大臣"
203004071,"金田 勝年","法務大臣","国土強靱化担当大臣"
203004072,"金田 勝年","法務大臣","クールジャパン戦略担当大臣"
203004076,"金田 勝年","法務大臣","知的財産戦略担当大臣"
203004079,"金田 勝年","法務大臣","マイナンバー制度担当大臣"
203004082,"金田 勝年","法務大臣","こども政策担当大臣"
203004083,"金田 勝年","法務大臣","孤独・孤立対策担当大臣"
203004086,"金田 勝年","法務大臣","経済安全保障担当大臣"
