"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
103007003,"塩谷 立","文部科学大臣","総務大臣"
103007004,"塩谷 立","文部科学大臣","法務大臣"
103007005,"塩谷 立","文部科学大臣","外務大臣"
103007008,"塩谷 立","文部科学大臣","厚生労働大臣"
103007011,"塩谷 立","文部科学大臣","国土交通大臣"
103007012,"塩谷 立","文部科学大臣","環境大臣"
103007013,"塩谷 立","文部科学大臣","防衛大臣（防衛庁長官）"
103007014,"塩谷 立","文部科学大臣","国家公安委員会委員長"
103007015,"塩谷 立","文部科学大臣","防災担当大臣"
103007016,"塩谷 立","文部科学大臣","行政改革担当大臣
（行政刷新担当大臣）"
103007017,"塩谷 立","文部科学大臣","沖縄及び北方対策担当大臣"
103007019,"塩谷 立","文部科学大臣","経済財政政策担当大臣"
103007020,"塩谷 立","文部科学大臣","科学技術政策担当大臣"
103007021,"塩谷 立","文部科学大臣","規制改革担当大臣"
103007022,"塩谷 立","文部科学大臣","男女共同参画担当大臣"
103007024,"塩谷 立","文部科学大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
103007028,"塩谷 立","文部科学大臣","少子化対策担当大臣"
103007029,"塩谷 立","文部科学大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
103007039,"塩谷 立","文部科学大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
103007040,"塩谷 立","文部科学大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
103007043,"塩谷 立","文部科学大臣","海洋政策担当大臣"
103007044,"塩谷 立","文部科学大臣","拉致問題担当大臣"
103007045,"塩谷 立","文部科学大臣","再チャレンジ担当大臣"
103007048,"塩谷 立","文部科学大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
103007061,"塩谷 立","文部科学大臣","原子力防災担当大臣"
103007062,"塩谷 立","文部科学大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
103007066,"塩谷 立","文部科学大臣","東京オリンピック・パラリンピック担当大臣"
103007071,"塩谷 立","文部科学大臣","国土強靱化担当大臣"
103007072,"塩谷 立","文部科学大臣","クールジャパン戦略担当大臣"
103007076,"塩谷 立","文部科学大臣","知的財産戦略担当大臣"
103007079,"塩谷 立","文部科学大臣","マイナンバー制度担当大臣"
103007082,"塩谷 立","文部科学大臣","こども政策担当大臣"
103007083,"塩谷 立","文部科学大臣","孤独・孤立対策担当大臣"
103007086,"塩谷 立","文部科学大臣","経済安全保障担当大臣"
