"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
97005003,"林 芳正","外務大臣","総務大臣"
97005004,"林 芳正","外務大臣","法務大臣"
97005008,"林 芳正","外務大臣","厚生労働大臣"
97005011,"林 芳正","外務大臣","国土交通大臣"
97005012,"林 芳正","外務大臣","環境大臣"
97005014,"林 芳正","外務大臣","国家公安委員会委員長"
97005015,"林 芳正","外務大臣","防災担当大臣"
97005016,"林 芳正","外務大臣","行政改革担当大臣
（行政刷新担当大臣）"
97005017,"林 芳正","外務大臣","沖縄及び北方対策担当大臣"
97005020,"林 芳正","外務大臣","科学技術政策担当大臣"
97005021,"林 芳正","外務大臣","規制改革担当大臣"
97005022,"林 芳正","外務大臣","男女共同参画担当大臣"
97005024,"林 芳正","外務大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
97005028,"林 芳正","外務大臣","少子化対策担当大臣"
97005029,"林 芳正","外務大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
97005039,"林 芳正","外務大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
97005040,"林 芳正","外務大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
97005043,"林 芳正","外務大臣","海洋政策担当大臣"
97005044,"林 芳正","外務大臣","拉致問題担当大臣"
97005045,"林 芳正","外務大臣","再チャレンジ担当大臣"
97005048,"林 芳正","外務大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
97005061,"林 芳正","外務大臣","原子力防災担当大臣"
97005062,"林 芳正","外務大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
97005066,"林 芳正","外務大臣","東京オリンピック・パラリンピック担当大臣"
97005071,"林 芳正","外務大臣","国土強靱化担当大臣"
97005072,"林 芳正","外務大臣","クールジャパン戦略担当大臣"
97005076,"林 芳正","外務大臣","知的財産戦略担当大臣"
97005079,"林 芳正","外務大臣","マイナンバー制度担当大臣"
97005082,"林 芳正","外務大臣","こども政策担当大臣"
97005083,"林 芳正","外務大臣","孤独・孤立対策担当大臣"
97005086,"林 芳正","外務大臣","経済安全保障担当大臣"
97007003,"林 芳正","文部科学大臣","総務大臣"
97007004,"林 芳正","文部科学大臣","法務大臣"
97007008,"林 芳正","文部科学大臣","厚生労働大臣"
97007011,"林 芳正","文部科学大臣","国土交通大臣"
97007012,"林 芳正","文部科学大臣","環境大臣"
97007014,"林 芳正","文部科学大臣","国家公安委員会委員長"
97007015,"林 芳正","文部科学大臣","防災担当大臣"
97007016,"林 芳正","文部科学大臣","行政改革担当大臣
（行政刷新担当大臣）"
97007017,"林 芳正","文部科学大臣","沖縄及び北方対策担当大臣"
97007020,"林 芳正","文部科学大臣","科学技術政策担当大臣"
97007021,"林 芳正","文部科学大臣","規制改革担当大臣"
97007022,"林 芳正","文部科学大臣","男女共同参画担当大臣"
97007024,"林 芳正","文部科学大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
97007028,"林 芳正","文部科学大臣","少子化対策担当大臣"
97007029,"林 芳正","文部科学大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
97007039,"林 芳正","文部科学大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
97007040,"林 芳正","文部科学大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
97007043,"林 芳正","文部科学大臣","海洋政策担当大臣"
97007044,"林 芳正","文部科学大臣","拉致問題担当大臣"
97007045,"林 芳正","文部科学大臣","再チャレンジ担当大臣"
97007048,"林 芳正","文部科学大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
97007061,"林 芳正","文部科学大臣","原子力防災担当大臣"
97007062,"林 芳正","文部科学大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
97007066,"林 芳正","文部科学大臣","東京オリンピック・パラリンピック担当大臣"
97007071,"林 芳正","文部科学大臣","国土強靱化担当大臣"
97007072,"林 芳正","文部科学大臣","クールジャパン戦略担当大臣"
97007076,"林 芳正","文部科学大臣","知的財産戦略担当大臣"
97007079,"林 芳正","文部科学大臣","マイナンバー制度担当大臣"
97007082,"林 芳正","文部科学大臣","こども政策担当大臣"
97007083,"林 芳正","文部科学大臣","孤独・孤立対策担当大臣"
97007086,"林 芳正","文部科学大臣","経済安全保障担当大臣"
97013003,"林 芳正","防衛大臣（防衛庁長官）","総務大臣"
97013004,"林 芳正","防衛大臣（防衛庁長官）","法務大臣"
97013008,"林 芳正","防衛大臣（防衛庁長官）","厚生労働大臣"
97013011,"林 芳正","防衛大臣（防衛庁長官）","国土交通大臣"
97013012,"林 芳正","防衛大臣（防衛庁長官）","環境大臣"
97013014,"林 芳正","防衛大臣（防衛庁長官）","国家公安委員会委員長"
97013015,"林 芳正","防衛大臣（防衛庁長官）","防災担当大臣"
97013016,"林 芳正","防衛大臣（防衛庁長官）","行政改革担当大臣
（行政刷新担当大臣）"
97013017,"林 芳正","防衛大臣（防衛庁長官）","沖縄及び北方対策担当大臣"
97013020,"林 芳正","防衛大臣（防衛庁長官）","科学技術政策担当大臣"
97013021,"林 芳正","防衛大臣（防衛庁長官）","規制改革担当大臣"
97013022,"林 芳正","防衛大臣（防衛庁長官）","男女共同参画担当大臣"
97013024,"林 芳正","防衛大臣（防衛庁長官）","消費者及び食品安全担当大臣
（食品安全担当大臣）"
97013028,"林 芳正","防衛大臣（防衛庁長官）","少子化対策担当大臣"
97013029,"林 芳正","防衛大臣（防衛庁長官）","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
97013039,"林 芳正","防衛大臣（防衛庁長官）","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
97013040,"林 芳正","防衛大臣（防衛庁長官）","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
97013043,"林 芳正","防衛大臣（防衛庁長官）","海洋政策担当大臣"
97013044,"林 芳正","防衛大臣（防衛庁長官）","拉致問題担当大臣"
97013045,"林 芳正","防衛大臣（防衛庁長官）","再チャレンジ担当大臣"
97013048,"林 芳正","防衛大臣（防衛庁長官）","宇宙政策担当大臣
（宇宙開発担当大臣）"
97013061,"林 芳正","防衛大臣（防衛庁長官）","原子力防災担当大臣"
97013062,"林 芳正","防衛大臣（防衛庁長官）","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
97013066,"林 芳正","防衛大臣（防衛庁長官）","東京オリンピック・パラリンピック担当大臣"
97013071,"林 芳正","防衛大臣（防衛庁長官）","国土強靱化担当大臣"
97013072,"林 芳正","防衛大臣（防衛庁長官）","クールジャパン戦略担当大臣"
97013076,"林 芳正","防衛大臣（防衛庁長官）","知的財産戦略担当大臣"
97013079,"林 芳正","防衛大臣（防衛庁長官）","マイナンバー制度担当大臣"
97013082,"林 芳正","防衛大臣（防衛庁長官）","こども政策担当大臣"
97013083,"林 芳正","防衛大臣（防衛庁長官）","孤独・孤立対策担当大臣"
97013086,"林 芳正","防衛大臣（防衛庁長官）","経済安全保障担当大臣"
97019003,"林 芳正","経済財政政策担当大臣","総務大臣"
97019004,"林 芳正","経済財政政策担当大臣","法務大臣"
97019008,"林 芳正","経済財政政策担当大臣","厚生労働大臣"
97019011,"林 芳正","経済財政政策担当大臣","国土交通大臣"
97019012,"林 芳正","経済財政政策担当大臣","環境大臣"
97019014,"林 芳正","経済財政政策担当大臣","国家公安委員会委員長"
97019015,"林 芳正","経済財政政策担当大臣","防災担当大臣"
97019016,"林 芳正","経済財政政策担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
97019017,"林 芳正","経済財政政策担当大臣","沖縄及び北方対策担当大臣"
97019020,"林 芳正","経済財政政策担当大臣","科学技術政策担当大臣"
97019021,"林 芳正","経済財政政策担当大臣","規制改革担当大臣"
97019022,"林 芳正","経済財政政策担当大臣","男女共同参画担当大臣"
97019024,"林 芳正","経済財政政策担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
97019028,"林 芳正","経済財政政策担当大臣","少子化対策担当大臣"
97019029,"林 芳正","経済財政政策担当大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
97019039,"林 芳正","経済財政政策担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
97019040,"林 芳正","経済財政政策担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
97019043,"林 芳正","経済財政政策担当大臣","海洋政策担当大臣"
97019044,"林 芳正","経済財政政策担当大臣","拉致問題担当大臣"
97019045,"林 芳正","経済財政政策担当大臣","再チャレンジ担当大臣"
97019048,"林 芳正","経済財政政策担当大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
97019061,"林 芳正","経済財政政策担当大臣","原子力防災担当大臣"
97019062,"林 芳正","経済財政政策担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
97019066,"林 芳正","経済財政政策担当大臣","東京オリンピック・パラリンピック担当大臣"
97019071,"林 芳正","経済財政政策担当大臣","国土強靱化担当大臣"
97019072,"林 芳正","経済財政政策担当大臣","クールジャパン戦略担当大臣"
97019076,"林 芳正","経済財政政策担当大臣","知的財産戦略担当大臣"
97019079,"林 芳正","経済財政政策担当大臣","マイナンバー制度担当大臣"
97019082,"林 芳正","経済財政政策担当大臣","こども政策担当大臣"
97019083,"林 芳正","経済財政政策担当大臣","孤独・孤立対策担当大臣"
97019086,"林 芳正","経済財政政策担当大臣","経済安全保障担当大臣"
