"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
73011003,"冬柴 鐵三","国土交通大臣","総務大臣"
73011004,"冬柴 鐵三","国土交通大臣","法務大臣"
73011005,"冬柴 鐵三","国土交通大臣","外務大臣"
73011007,"冬柴 鐵三","国土交通大臣","文部科学大臣"
73011008,"冬柴 鐵三","国土交通大臣","厚生労働大臣"
73011012,"冬柴 鐵三","国土交通大臣","環境大臣"
73011013,"冬柴 鐵三","国土交通大臣","防衛大臣（防衛庁長官）"
73011014,"冬柴 鐵三","国土交通大臣","国家公安委員会委員長"
73011015,"冬柴 鐵三","国土交通大臣","防災担当大臣"
73011016,"冬柴 鐵三","国土交通大臣","行政改革担当大臣
（行政刷新担当大臣）"
73011017,"冬柴 鐵三","国土交通大臣","沖縄及び北方対策担当大臣"
73011019,"冬柴 鐵三","国土交通大臣","経済財政政策担当大臣"
73011020,"冬柴 鐵三","国土交通大臣","科学技術政策担当大臣"
73011021,"冬柴 鐵三","国土交通大臣","規制改革担当大臣"
73011022,"冬柴 鐵三","国土交通大臣","男女共同参画担当大臣"
73011024,"冬柴 鐵三","国土交通大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
73011028,"冬柴 鐵三","国土交通大臣","少子化対策担当大臣"
73011029,"冬柴 鐵三","国土交通大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
73011039,"冬柴 鐵三","国土交通大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
73011040,"冬柴 鐵三","国土交通大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
73011044,"冬柴 鐵三","国土交通大臣","拉致問題担当大臣"
73011045,"冬柴 鐵三","国土交通大臣","再チャレンジ担当大臣"
73011048,"冬柴 鐵三","国土交通大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
73011061,"冬柴 鐵三","国土交通大臣","原子力防災担当大臣"
73011062,"冬柴 鐵三","国土交通大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
73011066,"冬柴 鐵三","国土交通大臣","東京オリンピック・パラリンピック担当大臣"
73011071,"冬柴 鐵三","国土交通大臣","国土強靱化担当大臣"
73011072,"冬柴 鐵三","国土交通大臣","クールジャパン戦略担当大臣"
73011076,"冬柴 鐵三","国土交通大臣","知的財産戦略担当大臣"
73011079,"冬柴 鐵三","国土交通大臣","マイナンバー制度担当大臣"
73011082,"冬柴 鐵三","国土交通大臣","こども政策担当大臣"
73011083,"冬柴 鐵三","国土交通大臣","孤独・孤立対策担当大臣"
73011086,"冬柴 鐵三","国土交通大臣","経済安全保障担当大臣"
73043003,"冬柴 鐵三","海洋政策担当大臣","総務大臣"
73043004,"冬柴 鐵三","海洋政策担当大臣","法務大臣"
73043005,"冬柴 鐵三","海洋政策担当大臣","外務大臣"
73043007,"冬柴 鐵三","海洋政策担当大臣","文部科学大臣"
73043008,"冬柴 鐵三","海洋政策担当大臣","厚生労働大臣"
73043012,"冬柴 鐵三","海洋政策担当大臣","環境大臣"
73043013,"冬柴 鐵三","海洋政策担当大臣","防衛大臣（防衛庁長官）"
73043014,"冬柴 鐵三","海洋政策担当大臣","国家公安委員会委員長"
73043015,"冬柴 鐵三","海洋政策担当大臣","防災担当大臣"
73043016,"冬柴 鐵三","海洋政策担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
73043017,"冬柴 鐵三","海洋政策担当大臣","沖縄及び北方対策担当大臣"
73043019,"冬柴 鐵三","海洋政策担当大臣","経済財政政策担当大臣"
73043020,"冬柴 鐵三","海洋政策担当大臣","科学技術政策担当大臣"
73043021,"冬柴 鐵三","海洋政策担当大臣","規制改革担当大臣"
73043022,"冬柴 鐵三","海洋政策担当大臣","男女共同参画担当大臣"
73043024,"冬柴 鐵三","海洋政策担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
73043028,"冬柴 鐵三","海洋政策担当大臣","少子化対策担当大臣"
73043029,"冬柴 鐵三","海洋政策担当大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
73043039,"冬柴 鐵三","海洋政策担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
73043040,"冬柴 鐵三","海洋政策担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
73043044,"冬柴 鐵三","海洋政策担当大臣","拉致問題担当大臣"
73043045,"冬柴 鐵三","海洋政策担当大臣","再チャレンジ担当大臣"
73043048,"冬柴 鐵三","海洋政策担当大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
73043061,"冬柴 鐵三","海洋政策担当大臣","原子力防災担当大臣"
73043062,"冬柴 鐵三","海洋政策担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
73043066,"冬柴 鐵三","海洋政策担当大臣","東京オリンピック・パラリンピック担当大臣"
73043071,"冬柴 鐵三","海洋政策担当大臣","国土強靱化担当大臣"
73043072,"冬柴 鐵三","海洋政策担当大臣","クールジャパン戦略担当大臣"
73043076,"冬柴 鐵三","海洋政策担当大臣","知的財産戦略担当大臣"
73043079,"冬柴 鐵三","海洋政策担当大臣","マイナンバー制度担当大臣"
73043082,"冬柴 鐵三","海洋政策担当大臣","こども政策担当大臣"
73043083,"冬柴 鐵三","海洋政策担当大臣","孤独・孤立対策担当大臣"
73043086,"冬柴 鐵三","海洋政策担当大臣","経済安全保障担当大臣"
