"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
215016003,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","総務大臣"
215016004,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","法務大臣"
215016005,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","外務大臣"
215016007,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","文部科学大臣"
215016008,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","厚生労働大臣"
215016011,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","国土交通大臣"
215016012,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","環境大臣"
215016013,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","防衛大臣（防衛庁長官）"
215016014,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","国家公安委員会委員長"
215016015,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","防災担当大臣"
215016017,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","沖縄及び北方対策担当大臣"
215016019,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","経済財政政策担当大臣"
215016020,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","科学技術政策担当大臣"
215016022,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","男女共同参画担当大臣"
215016024,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","消費者及び食品安全担当大臣
（食品安全担当大臣）"
215016028,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","少子化対策担当大臣"
215016029,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
215016043,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","海洋政策担当大臣"
215016044,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","拉致問題担当大臣"
215016045,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","再チャレンジ担当大臣"
215016048,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","宇宙政策担当大臣
（宇宙開発担当大臣）"
215016061,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","原子力防災担当大臣"
215016062,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
215016066,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","東京オリンピック・パラリンピック担当大臣"
215016071,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","国土強靱化担当大臣"
215016072,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","クールジャパン戦略担当大臣"
215016076,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","知的財産戦略担当大臣"
215016079,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","マイナンバー制度担当大臣"
215016082,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","こども政策担当大臣"
215016083,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","孤独・孤立対策担当大臣"
215016086,"梶山 弘志","行政改革担当大臣
（行政刷新担当大臣）","経済安全保障担当大臣"
215021003,"梶山 弘志","規制改革担当大臣","総務大臣"
215021004,"梶山 弘志","規制改革担当大臣","法務大臣"
215021005,"梶山 弘志","規制改革担当大臣","外務大臣"
215021007,"梶山 弘志","規制改革担当大臣","文部科学大臣"
215021008,"梶山 弘志","規制改革担当大臣","厚生労働大臣"
215021011,"梶山 弘志","規制改革担当大臣","国土交通大臣"
215021012,"梶山 弘志","規制改革担当大臣","環境大臣"
215021013,"梶山 弘志","規制改革担当大臣","防衛大臣（防衛庁長官）"
215021014,"梶山 弘志","規制改革担当大臣","国家公安委員会委員長"
215021015,"梶山 弘志","規制改革担当大臣","防災担当大臣"
215021017,"梶山 弘志","規制改革担当大臣","沖縄及び北方対策担当大臣"
215021019,"梶山 弘志","規制改革担当大臣","経済財政政策担当大臣"
215021020,"梶山 弘志","規制改革担当大臣","科学技術政策担当大臣"
215021022,"梶山 弘志","規制改革担当大臣","男女共同参画担当大臣"
215021024,"梶山 弘志","規制改革担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
215021028,"梶山 弘志","規制改革担当大臣","少子化対策担当大臣"
215021029,"梶山 弘志","規制改革担当大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
215021043,"梶山 弘志","規制改革担当大臣","海洋政策担当大臣"
215021044,"梶山 弘志","規制改革担当大臣","拉致問題担当大臣"
215021045,"梶山 弘志","規制改革担当大臣","再チャレンジ担当大臣"
215021048,"梶山 弘志","規制改革担当大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
215021061,"梶山 弘志","規制改革担当大臣","原子力防災担当大臣"
215021062,"梶山 弘志","規制改革担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
215021066,"梶山 弘志","規制改革担当大臣","東京オリンピック・パラリンピック担当大臣"
215021071,"梶山 弘志","規制改革担当大臣","国土強靱化担当大臣"
215021072,"梶山 弘志","規制改革担当大臣","クールジャパン戦略担当大臣"
215021076,"梶山 弘志","規制改革担当大臣","知的財産戦略担当大臣"
215021079,"梶山 弘志","規制改革担当大臣","マイナンバー制度担当大臣"
215021082,"梶山 弘志","規制改革担当大臣","こども政策担当大臣"
215021083,"梶山 弘志","規制改革担当大臣","孤独・孤立対策担当大臣"
215021086,"梶山 弘志","規制改革担当大臣","経済安全保障担当大臣"
215039003,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","総務大臣"
215039004,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","法務大臣"
215039005,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","外務大臣"
215039007,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","文部科学大臣"
215039008,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","厚生労働大臣"
215039011,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","国土交通大臣"
215039012,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","環境大臣"
215039013,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","防衛大臣（防衛庁長官）"
215039014,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","国家公安委員会委員長"
215039015,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","防災担当大臣"
215039017,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","沖縄及び北方対策担当大臣"
215039019,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","経済財政政策担当大臣"
215039020,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","科学技術政策担当大臣"
215039022,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","男女共同参画担当大臣"
215039024,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","消費者及び食品安全担当大臣
（食品安全担当大臣）"
215039028,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","少子化対策担当大臣"
215039029,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
215039043,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","海洋政策担当大臣"
215039044,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","拉致問題担当大臣"
215039045,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","再チャレンジ担当大臣"
215039048,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","宇宙政策担当大臣
（宇宙開発担当大臣）"
215039061,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","原子力防災担当大臣"
215039062,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
215039066,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","東京オリンピック・パラリンピック担当大臣"
215039071,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","国土強靱化担当大臣"
215039072,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","クールジャパン戦略担当大臣"
215039076,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","知的財産戦略担当大臣"
215039079,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","マイナンバー制度担当大臣"
215039082,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","こども政策担当大臣"
215039083,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","孤独・孤立対策担当大臣"
215039086,"梶山 弘志","国家公務員制度担当大臣
（公務員制度改革担当大臣）","経済安全保障担当大臣"
215040003,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","総務大臣"
215040004,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","法務大臣"
215040005,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","外務大臣"
215040007,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","文部科学大臣"
215040008,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","厚生労働大臣"
215040011,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","国土交通大臣"
215040012,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","環境大臣"
215040013,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","防衛大臣（防衛庁長官）"
215040014,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","国家公安委員会委員長"
215040015,"梶山 弘志","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）","防災担当大臣"
