"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
11011003,"扇 千景","国土交通大臣","総務大臣"
11011004,"扇 千景","国土交通大臣","法務大臣"
11011005,"扇 千景","国土交通大臣","外務大臣"
11011007,"扇 千景","国土交通大臣","文部科学大臣"
11011008,"扇 千景","国土交通大臣","厚生労働大臣"
11011012,"扇 千景","国土交通大臣","環境大臣"
11011013,"扇 千景","国土交通大臣","防衛大臣（防衛庁長官）"
11011014,"扇 千景","国土交通大臣","国家公安委員会委員長"
11011015,"扇 千景","国土交通大臣","防災担当大臣"
11011016,"扇 千景","国土交通大臣","行政改革担当大臣（行政刷新担当大臣）"
11011017,"扇 千景","国土交通大臣","沖縄及び北方対策担当大臣"
11011019,"扇 千景","国土交通大臣","経済財政政策担当大臣"
11011020,"扇 千景","国土交通大臣","科学技術政策担当大臣"
11011021,"扇 千景","国土交通大臣","規制改革担当大臣"
11011022,"扇 千景","国土交通大臣","男女共同参画担当大臣"
11011024,"扇 千景","国土交通大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
11011028,"扇 千景","国土交通大臣","少子化対策担当大臣"
11011029,"扇 千景","国土交通大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
11011039,"扇 千景","国土交通大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
11011040,"扇 千景","国土交通大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
11011043,"扇 千景","国土交通大臣","海洋政策担当大臣"
11011044,"扇 千景","国土交通大臣","拉致問題担当大臣"
11011045,"扇 千景","国土交通大臣","再チャレンジ担当大臣"
11011048,"扇 千景","国土交通大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
11011061,"扇 千景","国土交通大臣","原子力防災担当大臣"
11011062,"扇 千景","国土交通大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
11011066,"扇 千景","国土交通大臣","東京オリンピック・パラリンピック担当大臣"
11011071,"扇 千景","国土交通大臣","国土強靱化担当大臣"
11011072,"扇 千景","国土交通大臣","クールジャパン戦略担当大臣"
11011076,"扇 千景","国土交通大臣","知的財産戦略担当大臣"
11011079,"扇 千景","国土交通大臣","マイナンバー制度担当大臣"
11011082,"扇 千景","国土交通大臣","こども政策担当大臣"
11011083,"扇 千景","国土交通大臣","孤独・孤立対策担当大臣"
11011086,"扇 千景","国土交通大臣","経済安全保障担当大臣"
