"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
87012003,"鴨下 一郎（かもした いちろう）","環境大臣","総務大臣"
87012004,"鴨下 一郎（かもした いちろう）","環境大臣","法務大臣"
87012005,"鴨下 一郎（かもした いちろう）","環境大臣","外務大臣"
87012007,"鴨下 一郎（かもした いちろう）","環境大臣","文部科学大臣"
87012008,"鴨下 一郎（かもした いちろう）","環境大臣","厚生労働大臣"
87012011,"鴨下 一郎（かもした いちろう）","環境大臣","国土交通大臣"
87012013,"鴨下 一郎（かもした いちろう）","環境大臣","防衛大臣（防衛庁長官）"
87012014,"鴨下 一郎（かもした いちろう）","環境大臣","国家公安委員会委員長"
87012015,"鴨下 一郎（かもした いちろう）","環境大臣","防災担当大臣"
87012016,"鴨下 一郎（かもした いちろう）","環境大臣","行政改革担当大臣（行政刷新担当大臣）"
87012017,"鴨下 一郎（かもした いちろう）","環境大臣","沖縄及び北方対策担当大臣"
87012019,"鴨下 一郎（かもした いちろう）","環境大臣","経済財政政策担当大臣"
87012020,"鴨下 一郎（かもした いちろう）","環境大臣","科学技術政策担当大臣"
87012021,"鴨下 一郎（かもした いちろう）","環境大臣","規制改革担当大臣"
87012022,"鴨下 一郎（かもした いちろう）","環境大臣","男女共同参画担当大臣"
87012024,"鴨下 一郎（かもした いちろう）","環境大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
87012028,"鴨下 一郎（かもした いちろう）","環境大臣","少子化対策担当大臣"
87012029,"鴨下 一郎（かもした いちろう）","環境大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
87012039,"鴨下 一郎（かもした いちろう）","環境大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
87012040,"鴨下 一郎（かもした いちろう）","環境大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
87012043,"鴨下 一郎（かもした いちろう）","環境大臣","海洋政策担当大臣"
87012044,"鴨下 一郎（かもした いちろう）","環境大臣","拉致問題担当大臣"
87012045,"鴨下 一郎（かもした いちろう）","環境大臣","再チャレンジ担当大臣"
87012048,"鴨下 一郎（かもした いちろう）","環境大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
87012061,"鴨下 一郎（かもした いちろう）","環境大臣","原子力防災担当大臣"
87012062,"鴨下 一郎（かもした いちろう）","環境大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
87012066,"鴨下 一郎（かもした いちろう）","環境大臣","東京オリンピック・パラリンピック担当大臣"
87012071,"鴨下 一郎（かもした いちろう）","環境大臣","国土強靱化担当大臣"
87012072,"鴨下 一郎（かもした いちろう）","環境大臣","クールジャパン戦略担当大臣"
87012076,"鴨下 一郎（かもした いちろう）","環境大臣","知的財産戦略担当大臣"
87012079,"鴨下 一郎（かもした いちろう）","環境大臣","マイナンバー制度担当大臣"
87012082,"鴨下 一郎（かもした いちろう）","環境大臣","こども政策担当大臣"
87012083,"鴨下 一郎（かもした いちろう）","環境大臣","孤独・孤立対策担当大臣"
87012086,"鴨下 一郎（かもした いちろう）","環境大臣","経済安全保障担当大臣"
