"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
43014003,"小野 清子","国家公安委員会委員長","総務大臣"
43014004,"小野 清子","国家公安委員会委員長","法務大臣"
43014005,"小野 清子","国家公安委員会委員長","外務大臣"
43014007,"小野 清子","国家公安委員会委員長","文部科学大臣"
43014008,"小野 清子","国家公安委員会委員長","厚生労働大臣"
43014011,"小野 清子","国家公安委員会委員長","国土交通大臣"
43014012,"小野 清子","国家公安委員会委員長","環境大臣"
43014013,"小野 清子","国家公安委員会委員長","防衛大臣（防衛庁長官）"
43014015,"小野 清子","国家公安委員会委員長","防災担当大臣"
43014016,"小野 清子","国家公安委員会委員長","行政改革担当大臣
（行政刷新担当大臣）"
43014017,"小野 清子","国家公安委員会委員長","沖縄及び北方対策担当大臣"
43014019,"小野 清子","国家公安委員会委員長","経済財政政策担当大臣"
43014020,"小野 清子","国家公安委員会委員長","科学技術政策担当大臣"
43014021,"小野 清子","国家公安委員会委員長","規制改革担当大臣"
43014022,"小野 清子","国家公安委員会委員長","男女共同参画担当大臣"
43014029,"小野 清子","国家公安委員会委員長","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
43014039,"小野 清子","国家公安委員会委員長","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
43014040,"小野 清子","国家公安委員会委員長","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
43014043,"小野 清子","国家公安委員会委員長","海洋政策担当大臣"
43014044,"小野 清子","国家公安委員会委員長","拉致問題担当大臣"
43014045,"小野 清子","国家公安委員会委員長","再チャレンジ担当大臣"
43014048,"小野 清子","国家公安委員会委員長","宇宙政策担当大臣
（宇宙開発担当大臣）"
43014061,"小野 清子","国家公安委員会委員長","原子力防災担当大臣"
43014062,"小野 清子","国家公安委員会委員長","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
43014066,"小野 清子","国家公安委員会委員長","東京オリンピック・パラリンピック担当大臣"
43014071,"小野 清子","国家公安委員会委員長","国土強靱化担当大臣"
43014072,"小野 清子","国家公安委員会委員長","クールジャパン戦略担当大臣"
43014076,"小野 清子","国家公安委員会委員長","知的財産戦略担当大臣"
43014079,"小野 清子","国家公安委員会委員長","マイナンバー制度担当大臣"
43014082,"小野 清子","国家公安委員会委員長","こども政策担当大臣"
