"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
127016003,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","総務大臣"
127016004,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","法務大臣"
127016005,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","外務大臣"
127016007,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","文部科学大臣"
127016008,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","厚生労働大臣"
127016011,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","国土交通大臣"
127016012,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","環境大臣"
127016013,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","防衛大臣（防衛庁長官）"
127016014,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","国家公安委員会委員長"
127016015,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","防災担当大臣"
127016017,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","沖縄及び北方対策担当大臣"
127016019,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","経済財政政策担当大臣"
127016020,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","科学技術政策担当大臣"
127016021,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","規制改革担当大臣"
127016029,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","デジタル大臣（情報通信技術（IT）政策担当大臣）"
127016040,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
127016043,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","海洋政策担当大臣"
127016044,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","拉致問題担当大臣"
127016045,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","再チャレンジ担当大臣"
127016048,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","宇宙政策担当大臣（宇宙開発担当大臣）"
127016061,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","原子力防災担当大臣"
127016062,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
127016066,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","東京オリンピック・パラリンピック担当大臣"
127016071,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","国土強靱化担当大臣"
127016072,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","クールジャパン戦略担当大臣"
127016076,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","知的財産戦略担当大臣"
127016079,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","マイナンバー制度担当大臣"
127016082,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","こども政策担当大臣"
127016083,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","孤独・孤立対策担当大臣"
127016086,"蓮 舫（れんほう）","行政改革担当大臣（行政刷新担当大臣）","経済安全保障担当大臣"
127022003,"蓮 舫（れんほう）","男女共同参画担当大臣","総務大臣"
127022004,"蓮 舫（れんほう）","男女共同参画担当大臣","法務大臣"
127022005,"蓮 舫（れんほう）","男女共同参画担当大臣","外務大臣"
127022007,"蓮 舫（れんほう）","男女共同参画担当大臣","文部科学大臣"
127022008,"蓮 舫（れんほう）","男女共同参画担当大臣","厚生労働大臣"
127022011,"蓮 舫（れんほう）","男女共同参画担当大臣","国土交通大臣"
127022012,"蓮 舫（れんほう）","男女共同参画担当大臣","環境大臣"
127022013,"蓮 舫（れんほう）","男女共同参画担当大臣","防衛大臣（防衛庁長官）"
127022014,"蓮 舫（れんほう）","男女共同参画担当大臣","国家公安委員会委員長"
127022015,"蓮 舫（れんほう）","男女共同参画担当大臣","防災担当大臣"
127022017,"蓮 舫（れんほう）","男女共同参画担当大臣","沖縄及び北方対策担当大臣"
127022019,"蓮 舫（れんほう）","男女共同参画担当大臣","経済財政政策担当大臣"
127022020,"蓮 舫（れんほう）","男女共同参画担当大臣","科学技術政策担当大臣"
127022021,"蓮 舫（れんほう）","男女共同参画担当大臣","規制改革担当大臣"
127022029,"蓮 舫（れんほう）","男女共同参画担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
