"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
45005003,"茂木 敏充（もてぎ としみつ）","外務大臣","総務大臣"
45005004,"茂木 敏充（もてぎ としみつ）","外務大臣","法務大臣"
45005007,"茂木 敏充（もてぎ としみつ）","外務大臣","文部科学大臣"
45005008,"茂木 敏充（もてぎ としみつ）","外務大臣","厚生労働大臣"
45005011,"茂木 敏充（もてぎ としみつ）","外務大臣","国土交通大臣"
45005012,"茂木 敏充（もてぎ としみつ）","外務大臣","環境大臣"
45005013,"茂木 敏充（もてぎ としみつ）","外務大臣","防衛大臣（防衛庁長官）"
45005014,"茂木 敏充（もてぎ としみつ）","外務大臣","国家公安委員会委員長"
45005015,"茂木 敏充（もてぎ としみつ）","外務大臣","防災担当大臣"
45005021,"茂木 敏充（もてぎ としみつ）","外務大臣","規制改革担当大臣"
45005022,"茂木 敏充（もてぎ としみつ）","外務大臣","男女共同参画担当大臣"
45005024,"茂木 敏充（もてぎ としみつ）","外務大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
45005028,"茂木 敏充（もてぎ としみつ）","外務大臣","少子化対策担当大臣"
45005029,"茂木 敏充（もてぎ としみつ）","外務大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
45005040,"茂木 敏充（もてぎ としみつ）","外務大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
45005043,"茂木 敏充（もてぎ としみつ）","外務大臣","海洋政策担当大臣"
45005044,"茂木 敏充（もてぎ としみつ）","外務大臣","拉致問題担当大臣"
45005045,"茂木 敏充（もてぎ としみつ）","外務大臣","再チャレンジ担当大臣"
45005048,"茂木 敏充（もてぎ としみつ）","外務大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
45005061,"茂木 敏充（もてぎ としみつ）","外務大臣","原子力防災担当大臣"
45005062,"茂木 敏充（もてぎ としみつ）","外務大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
45005066,"茂木 敏充（もてぎ としみつ）","外務大臣","東京オリンピック・パラリンピック担当大臣"
45005071,"茂木 敏充（もてぎ としみつ）","外務大臣","国土強靱化担当大臣"
45005072,"茂木 敏充（もてぎ としみつ）","外務大臣","クールジャパン戦略担当大臣"
45005076,"茂木 敏充（もてぎ としみつ）","外務大臣","知的財産戦略担当大臣"
45005079,"茂木 敏充（もてぎ としみつ）","外務大臣","マイナンバー制度担当大臣"
45005082,"茂木 敏充（もてぎ としみつ）","外務大臣","こども政策担当大臣"
45005083,"茂木 敏充（もてぎ としみつ）","外務大臣","孤独・孤立対策担当大臣"
45005086,"茂木 敏充（もてぎ としみつ）","外務大臣","経済安全保障担当大臣"
45016003,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","総務大臣"
45016004,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","法務大臣"
45016007,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","文部科学大臣"
45016008,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","厚生労働大臣"
45016011,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","国土交通大臣"
45016012,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","環境大臣"
45016013,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","防衛大臣（防衛庁長官）"
45016014,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","国家公安委員会委員長"
45016015,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","防災担当大臣"
45016021,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","規制改革担当大臣"
45016022,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","男女共同参画担当大臣"
45016024,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","消費者及び食品安全担当大臣（食品安全担当大臣）"
45016028,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","少子化対策担当大臣"
45016029,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","デジタル大臣（情報通信技術（IT）政策担当大臣）"
45016040,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
45016043,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","海洋政策担当大臣"
45016044,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","拉致問題担当大臣"
45016045,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","再チャレンジ担当大臣"
45016048,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","宇宙政策担当大臣（宇宙開発担当大臣）"
45016061,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","原子力防災担当大臣"
45016062,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
45016066,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","東京オリンピック・パラリンピック担当大臣"
45016071,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","国土強靱化担当大臣"
45016072,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","クールジャパン戦略担当大臣"
45016076,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","知的財産戦略担当大臣"
45016079,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","マイナンバー制度担当大臣"
45016082,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","こども政策担当大臣"
45016083,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","孤独・孤立対策担当大臣"
45016086,"茂木 敏充（もてぎ としみつ）","行政改革担当大臣（行政刷新担当大臣）","経済安全保障担当大臣"
45017003,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","総務大臣"
45017004,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","法務大臣"
45017007,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","文部科学大臣"
45017008,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","厚生労働大臣"
45017011,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","国土交通大臣"
45017012,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","環境大臣"
45017013,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","防衛大臣（防衛庁長官）"
45017014,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","国家公安委員会委員長"
45017015,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","防災担当大臣"
45017021,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","規制改革担当大臣"
45017022,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","男女共同参画担当大臣"
45017024,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
45017028,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","少子化対策担当大臣"
45017029,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
45017040,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
45017043,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","海洋政策担当大臣"
45017044,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","拉致問題担当大臣"
45017045,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","再チャレンジ担当大臣"
45017048,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
45017061,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","原子力防災担当大臣"
45017062,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
45017066,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","東京オリンピック・パラリンピック担当大臣"
45017071,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","国土強靱化担当大臣"
45017072,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","クールジャパン戦略担当大臣"
45017076,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","知的財産戦略担当大臣"
45017079,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","マイナンバー制度担当大臣"
45017082,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","こども政策担当大臣"
45017083,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","孤独・孤立対策担当大臣"
45017086,"茂木 敏充（もてぎ としみつ）","沖縄及び北方対策担当大臣","経済安全保障担当大臣"
45019003,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","総務大臣"
45019004,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","法務大臣"
45019007,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","文部科学大臣"
45019008,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","厚生労働大臣"
45019011,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","国土交通大臣"
45019012,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","環境大臣"
45019013,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","防衛大臣（防衛庁長官）"
45019014,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","国家公安委員会委員長"
45019015,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","防災担当大臣"
45019021,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","規制改革担当大臣"
45019022,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","男女共同参画担当大臣"
45019024,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
45019028,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","少子化対策担当大臣"
45019029,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
45019040,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
45019043,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","海洋政策担当大臣"
45019044,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","拉致問題担当大臣"
45019045,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","再チャレンジ担当大臣"
45019048,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
45019061,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","原子力防災担当大臣"
45019062,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
45019066,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","東京オリンピック・パラリンピック担当大臣"
45019071,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","国土強靱化担当大臣"
45019072,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","クールジャパン戦略担当大臣"
45019076,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","知的財産戦略担当大臣"
45019079,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","マイナンバー制度担当大臣"
45019082,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","こども政策担当大臣"
45019083,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","孤独・孤立対策担当大臣"
45019086,"茂木 敏充（もてぎ としみつ）","経済財政政策担当大臣","経済安全保障担当大臣"
45020003,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","総務大臣"
45020004,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","法務大臣"
45020007,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","文部科学大臣"
45020008,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","厚生労働大臣"
45020011,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","国土交通大臣"
45020012,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","環境大臣"
45020013,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","防衛大臣（防衛庁長官）"
45020014,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","国家公安委員会委員長"
45020015,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","防災担当大臣"
45020021,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","規制改革担当大臣"
45020022,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","男女共同参画担当大臣"
45020024,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
45020028,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","少子化対策担当大臣"
45020029,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
45020040,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
45020043,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","海洋政策担当大臣"
45020044,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","拉致問題担当大臣"
45020045,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","再チャレンジ担当大臣"
45020048,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
45020061,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","原子力防災担当大臣"
45020062,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
45020066,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","東京オリンピック・パラリンピック担当大臣"
45020071,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","国土強靱化担当大臣"
45020072,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","クールジャパン戦略担当大臣"
45020076,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","知的財産戦略担当大臣"
45020079,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","マイナンバー制度担当大臣"
45020082,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","こども政策担当大臣"
45020083,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","孤独・孤立対策担当大臣"
45020086,"茂木 敏充（もてぎ としみつ）","科学技術政策担当大臣","経済安全保障担当大臣"
45039003,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","総務大臣"
45039004,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","法務大臣"
45039007,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","文部科学大臣"
45039008,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","厚生労働大臣"
45039011,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","国土交通大臣"
45039012,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","環境大臣"
45039013,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","防衛大臣（防衛庁長官）"
45039014,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","国家公安委員会委員長"
45039015,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","防災担当大臣"
45039021,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","規制改革担当大臣"
45039022,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","男女共同参画担当大臣"
45039024,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","消費者及び食品安全担当大臣（食品安全担当大臣）"
45039028,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","少子化対策担当大臣"
45039029,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","デジタル大臣（情報通信技術（IT）政策担当大臣）"
45039040,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
45039043,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","海洋政策担当大臣"
45039044,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","拉致問題担当大臣"
45039045,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","再チャレンジ担当大臣"
45039048,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","宇宙政策担当大臣（宇宙開発担当大臣）"
45039061,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","原子力防災担当大臣"
45039062,"茂木 敏充（もてぎ としみつ）","国家公務員制度担当大臣（公務員制度改革担当大臣）","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
