"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
176013003,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","総務大臣"
176013004,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","法務大臣"
176013005,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","外務大臣"
176013007,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","文部科学大臣"
176013008,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","厚生労働大臣"
176013011,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","国土交通大臣"
176013012,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","環境大臣"
176013014,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","国家公安委員会委員長"
176013015,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","防災担当大臣"
176013016,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","行政改革担当大臣（行政刷新担当大臣）"
176013017,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","沖縄及び北方対策担当大臣"
176013019,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","経済財政政策担当大臣"
176013020,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","科学技術政策担当大臣"
176013021,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","規制改革担当大臣"
176013022,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","男女共同参画担当大臣"
176013024,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","消費者及び食品安全担当大臣（食品安全担当大臣）"
176013028,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","少子化対策担当大臣"
176013029,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","デジタル大臣（情報通信技術（IT）政策担当大臣）"
176013039,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","国家公務員制度担当大臣（公務員制度改革担当大臣）"
176013040,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
176013043,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","海洋政策担当大臣"
176013044,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","拉致問題担当大臣"
176013045,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","再チャレンジ担当大臣"
176013048,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","宇宙政策担当大臣（宇宙開発担当大臣）"
176013061,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","原子力防災担当大臣"
176013062,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
176013066,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","東京オリンピック・パラリンピック担当大臣"
176013071,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","国土強靱化担当大臣"
176013072,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","クールジャパン戦略担当大臣"
176013076,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","知的財産戦略担当大臣"
176013079,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","マイナンバー制度担当大臣"
176013082,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","こども政策担当大臣"
176013083,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","孤独・孤立対策担当大臣"
176013086,"小野寺 五典（おのでら いつのり）","防衛大臣（防衛庁長官）","経済安全保障担当大臣"
