"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
175011003,"太田 昭宏（おおた あきひろ）","国土交通大臣","総務大臣"
175011004,"太田 昭宏（おおた あきひろ）","国土交通大臣","法務大臣"
175011005,"太田 昭宏（おおた あきひろ）","国土交通大臣","外務大臣"
175011007,"太田 昭宏（おおた あきひろ）","国土交通大臣","文部科学大臣"
175011008,"太田 昭宏（おおた あきひろ）","国土交通大臣","厚生労働大臣"
175011012,"太田 昭宏（おおた あきひろ）","国土交通大臣","環境大臣"
175011013,"太田 昭宏（おおた あきひろ）","国土交通大臣","防衛大臣（防衛庁長官）"
175011014,"太田 昭宏（おおた あきひろ）","国土交通大臣","国家公安委員会委員長"
175011015,"太田 昭宏（おおた あきひろ）","国土交通大臣","防災担当大臣"
175011016,"太田 昭宏（おおた あきひろ）","国土交通大臣","行政改革担当大臣（行政刷新担当大臣）"
175011017,"太田 昭宏（おおた あきひろ）","国土交通大臣","沖縄及び北方対策担当大臣"
175011019,"太田 昭宏（おおた あきひろ）","国土交通大臣","経済財政政策担当大臣"
175011020,"太田 昭宏（おおた あきひろ）","国土交通大臣","科学技術政策担当大臣"
175011021,"太田 昭宏（おおた あきひろ）","国土交通大臣","規制改革担当大臣"
175011022,"太田 昭宏（おおた あきひろ）","国土交通大臣","男女共同参画担当大臣"
175011024,"太田 昭宏（おおた あきひろ）","国土交通大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
175011028,"太田 昭宏（おおた あきひろ）","国土交通大臣","少子化対策担当大臣"
175011029,"太田 昭宏（おおた あきひろ）","国土交通大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
175011039,"太田 昭宏（おおた あきひろ）","国土交通大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
175011040,"太田 昭宏（おおた あきひろ）","国土交通大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
175011043,"太田 昭宏（おおた あきひろ）","国土交通大臣","海洋政策担当大臣"
175011044,"太田 昭宏（おおた あきひろ）","国土交通大臣","拉致問題担当大臣"
175011045,"太田 昭宏（おおた あきひろ）","国土交通大臣","再チャレンジ担当大臣"
175011048,"太田 昭宏（おおた あきひろ）","国土交通大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
175011061,"太田 昭宏（おおた あきひろ）","国土交通大臣","原子力防災担当大臣"
175011062,"太田 昭宏（おおた あきひろ）","国土交通大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
175011066,"太田 昭宏（おおた あきひろ）","国土交通大臣","東京オリンピック・パラリンピック担当大臣"
175011071,"太田 昭宏（おおた あきひろ）","国土交通大臣","国土強靱化担当大臣"
175011072,"太田 昭宏（おおた あきひろ）","国土交通大臣","クールジャパン戦略担当大臣"
175011076,"太田 昭宏（おおた あきひろ）","国土交通大臣","知的財産戦略担当大臣"
175011079,"太田 昭宏（おおた あきひろ）","国土交通大臣","マイナンバー制度担当大臣"
175011082,"太田 昭宏（おおた あきひろ）","国土交通大臣","こども政策担当大臣"
175011083,"太田 昭宏（おおた あきひろ）","国土交通大臣","孤独・孤立対策担当大臣"
175011086,"太田 昭宏（おおた あきひろ）","国土交通大臣","経済安全保障担当大臣"
