"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
251007003,"末松 信介","文部科学大臣","総務大臣"
251007004,"末松 信介","文部科学大臣","法務大臣"
251007005,"末松 信介","文部科学大臣","外務大臣"
251007008,"末松 信介","文部科学大臣","厚生労働大臣"
251007011,"末松 信介","文部科学大臣","国土交通大臣"
251007012,"末松 信介","文部科学大臣","環境大臣"
251007013,"末松 信介","文部科学大臣","防衛大臣（防衛庁長官）"
251007014,"末松 信介","文部科学大臣","国家公安委員会委員長"
251007015,"末松 信介","文部科学大臣","防災担当大臣"
251007016,"末松 信介","文部科学大臣","行政改革担当大臣（行政刷新担当大臣）"
251007017,"末松 信介","文部科学大臣","沖縄及び北方対策担当大臣"
251007019,"末松 信介","文部科学大臣","経済財政政策担当大臣"
251007020,"末松 信介","文部科学大臣","科学技術政策担当大臣"
251007021,"末松 信介","文部科学大臣","規制改革担当大臣"
251007022,"末松 信介","文部科学大臣","男女共同参画担当大臣"
251007024,"末松 信介","文部科学大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
251007028,"末松 信介","文部科学大臣","少子化対策担当大臣"
251007029,"末松 信介","文部科学大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
251007039,"末松 信介","文部科学大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
251007040,"末松 信介","文部科学大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
251007043,"末松 信介","文部科学大臣","海洋政策担当大臣"
251007044,"末松 信介","文部科学大臣","拉致問題担当大臣"
251007045,"末松 信介","文部科学大臣","再チャレンジ担当大臣"
251007048,"末松 信介","文部科学大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
251007061,"末松 信介","文部科学大臣","原子力防災担当大臣"
251007062,"末松 信介","文部科学大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
251007071,"末松 信介","文部科学大臣","国土強靱化担当大臣"
251007072,"末松 信介","文部科学大臣","クールジャパン戦略担当大臣"
251007076,"末松 信介","文部科学大臣","知的財産戦略担当大臣"
251007079,"末松 信介","文部科学大臣","マイナンバー制度担当大臣"
251007082,"末松 信介","文部科学大臣","こども政策担当大臣"
251007083,"末松 信介","文部科学大臣","孤独・孤立対策担当大臣"
251007086,"末松 信介","文部科学大臣","経済安全保障担当大臣"
251066003,"末松 信介","東京オリンピック・パラリンピック担当大臣","総務大臣"
251066004,"末松 信介","東京オリンピック・パラリンピック担当大臣","法務大臣"
251066005,"末松 信介","東京オリンピック・パラリンピック担当大臣","外務大臣"
251066008,"末松 信介","東京オリンピック・パラリンピック担当大臣","厚生労働大臣"
251066011,"末松 信介","東京オリンピック・パラリンピック担当大臣","国土交通大臣"
251066012,"末松 信介","東京オリンピック・パラリンピック担当大臣","環境大臣"
251066013,"末松 信介","東京オリンピック・パラリンピック担当大臣","防衛大臣（防衛庁長官）"
251066014,"末松 信介","東京オリンピック・パラリンピック担当大臣","国家公安委員会委員長"
251066015,"末松 信介","東京オリンピック・パラリンピック担当大臣","防災担当大臣"
251066016,"末松 信介","東京オリンピック・パラリンピック担当大臣","行政改革担当大臣（行政刷新担当大臣）"
251066017,"末松 信介","東京オリンピック・パラリンピック担当大臣","沖縄及び北方対策担当大臣"
251066019,"末松 信介","東京オリンピック・パラリンピック担当大臣","経済財政政策担当大臣"
251066020,"末松 信介","東京オリンピック・パラリンピック担当大臣","科学技術政策担当大臣"
251066021,"末松 信介","東京オリンピック・パラリンピック担当大臣","規制改革担当大臣"
251066022,"末松 信介","東京オリンピック・パラリンピック担当大臣","男女共同参画担当大臣"
251066024,"末松 信介","東京オリンピック・パラリンピック担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
251066028,"末松 信介","東京オリンピック・パラリンピック担当大臣","少子化対策担当大臣"
251066029,"末松 信介","東京オリンピック・パラリンピック担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
251066039,"末松 信介","東京オリンピック・パラリンピック担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
251066040,"末松 信介","東京オリンピック・パラリンピック担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
251066043,"末松 信介","東京オリンピック・パラリンピック担当大臣","海洋政策担当大臣"
251066044,"末松 信介","東京オリンピック・パラリンピック担当大臣","拉致問題担当大臣"
251066045,"末松 信介","東京オリンピック・パラリンピック担当大臣","再チャレンジ担当大臣"
251066048,"末松 信介","東京オリンピック・パラリンピック担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
251066061,"末松 信介","東京オリンピック・パラリンピック担当大臣","原子力防災担当大臣"
251066062,"末松 信介","東京オリンピック・パラリンピック担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
251066071,"末松 信介","東京オリンピック・パラリンピック担当大臣","国土強靱化担当大臣"
251066072,"末松 信介","東京オリンピック・パラリンピック担当大臣","クールジャパン戦略担当大臣"
251066076,"末松 信介","東京オリンピック・パラリンピック担当大臣","知的財産戦略担当大臣"
251066079,"末松 信介","東京オリンピック・パラリンピック担当大臣","マイナンバー制度担当大臣"
251066082,"末松 信介","東京オリンピック・パラリンピック担当大臣","こども政策担当大臣"
251066083,"末松 信介","東京オリンピック・パラリンピック担当大臣","孤独・孤立対策担当大臣"
251066086,"末松 信介","東京オリンピック・パラリンピック担当大臣","経済安全保障担当大臣"
