"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
226021003,"片山 さつき（かたやま さつき）","規制改革担当大臣","総務大臣"
226021004,"片山 さつき（かたやま さつき）","規制改革担当大臣","法務大臣"
226021005,"片山 さつき（かたやま さつき）","規制改革担当大臣","外務大臣"
226021007,"片山 さつき（かたやま さつき）","規制改革担当大臣","文部科学大臣"
226021008,"片山 さつき（かたやま さつき）","規制改革担当大臣","厚生労働大臣"
226021011,"片山 さつき（かたやま さつき）","規制改革担当大臣","国土交通大臣"
226021012,"片山 さつき（かたやま さつき）","規制改革担当大臣","環境大臣"
226021013,"片山 さつき（かたやま さつき）","規制改革担当大臣","防衛大臣（防衛庁長官）"
226021014,"片山 さつき（かたやま さつき）","規制改革担当大臣","国家公安委員会委員長"
226021015,"片山 さつき（かたやま さつき）","規制改革担当大臣","防災担当大臣"
226021016,"片山 さつき（かたやま さつき）","規制改革担当大臣","行政改革担当大臣（行政刷新担当大臣）"
226021017,"片山 さつき（かたやま さつき）","規制改革担当大臣","沖縄及び北方対策担当大臣"
226021019,"片山 さつき（かたやま さつき）","規制改革担当大臣","経済財政政策担当大臣"
226021020,"片山 さつき（かたやま さつき）","規制改革担当大臣","科学技術政策担当大臣"
226021024,"片山 さつき（かたやま さつき）","規制改革担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
226021028,"片山 さつき（かたやま さつき）","規制改革担当大臣","少子化対策担当大臣"
226021029,"片山 さつき（かたやま さつき）","規制改革担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
226021039,"片山 さつき（かたやま さつき）","規制改革担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
226021043,"片山 さつき（かたやま さつき）","規制改革担当大臣","海洋政策担当大臣"
226021044,"片山 さつき（かたやま さつき）","規制改革担当大臣","拉致問題担当大臣"
226021045,"片山 さつき（かたやま さつき）","規制改革担当大臣","再チャレンジ担当大臣"
226021048,"片山 さつき（かたやま さつき）","規制改革担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
226021061,"片山 さつき（かたやま さつき）","規制改革担当大臣","原子力防災担当大臣"
226021066,"片山 さつき（かたやま さつき）","規制改革担当大臣","東京オリンピック・パラリンピック担当大臣"
226021071,"片山 さつき（かたやま さつき）","規制改革担当大臣","国土強靱化担当大臣"
226021072,"片山 さつき（かたやま さつき）","規制改革担当大臣","クールジャパン戦略担当大臣"
226021076,"片山 さつき（かたやま さつき）","規制改革担当大臣","知的財産戦略担当大臣"
226021079,"片山 さつき（かたやま さつき）","規制改革担当大臣","マイナンバー制度担当大臣"
226021082,"片山 さつき（かたやま さつき）","規制改革担当大臣","こども政策担当大臣"
226021083,"片山 さつき（かたやま さつき）","規制改革担当大臣","孤独・孤立対策担当大臣"
226021086,"片山 さつき（かたやま さつき）","規制改革担当大臣","経済安全保障担当大臣"
226022003,"片山 さつき（かたやま さつき）","男女共同参画担当大臣","総務大臣"
226022004,"片山 さつき（かたやま さつき）","男女共同参画担当大臣","法務大臣"
226022005,"片山 さつき（かたやま さつき）","男女共同参画担当大臣","外務大臣"
226022007,"片山 さつき（かたやま さつき）","男女共同参画担当大臣","文部科学大臣"
226022008,"片山 さつき（かたやま さつき）","男女共同参画担当大臣","厚生労働大臣"
226022011,"片山 さつき（かたやま さつき）","男女共同参画担当大臣","国土交通大臣"
226022012,"片山 さつき（かたやま さつき）","男女共同参画担当大臣","環境大臣"
226022013,"片山 さつき（かたやま さつき）","男女共同参画担当大臣","防衛大臣（防衛庁長官）"
226022014,"片山 さつき（かたやま さつき）","男女共同参画担当大臣","国家公安委員会委員長"
