"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
195011003,"石井 啓一（いしい けいいち）","国土交通大臣","総務大臣"
195011004,"石井 啓一（いしい けいいち）","国土交通大臣","法務大臣"
195011005,"石井 啓一（いしい けいいち）","国土交通大臣","外務大臣"
195011007,"石井 啓一（いしい けいいち）","国土交通大臣","文部科学大臣"
195011008,"石井 啓一（いしい けいいち）","国土交通大臣","厚生労働大臣"
195011012,"石井 啓一（いしい けいいち）","国土交通大臣","環境大臣"
195011013,"石井 啓一（いしい けいいち）","国土交通大臣","防衛大臣（防衛庁長官）"
195011014,"石井 啓一（いしい けいいち）","国土交通大臣","国家公安委員会委員長"
195011015,"石井 啓一（いしい けいいち）","国土交通大臣","防災担当大臣"
195011016,"石井 啓一（いしい けいいち）","国土交通大臣","行政改革担当大臣（行政刷新担当大臣）"
195011017,"石井 啓一（いしい けいいち）","国土交通大臣","沖縄及び北方対策担当大臣"
195011019,"石井 啓一（いしい けいいち）","国土交通大臣","経済財政政策担当大臣"
195011020,"石井 啓一（いしい けいいち）","国土交通大臣","科学技術政策担当大臣"
195011021,"石井 啓一（いしい けいいち）","国土交通大臣","規制改革担当大臣"
195011022,"石井 啓一（いしい けいいち）","国土交通大臣","男女共同参画担当大臣"
195011024,"石井 啓一（いしい けいいち）","国土交通大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
195011028,"石井 啓一（いしい けいいち）","国土交通大臣","少子化対策担当大臣"
195011029,"石井 啓一（いしい けいいち）","国土交通大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
195011039,"石井 啓一（いしい けいいち）","国土交通大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
195011040,"石井 啓一（いしい けいいち）","国土交通大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
195011043,"石井 啓一（いしい けいいち）","国土交通大臣","海洋政策担当大臣"
195011044,"石井 啓一（いしい けいいち）","国土交通大臣","拉致問題担当大臣"
195011045,"石井 啓一（いしい けいいち）","国土交通大臣","再チャレンジ担当大臣"
195011048,"石井 啓一（いしい けいいち）","国土交通大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
195011061,"石井 啓一（いしい けいいち）","国土交通大臣","原子力防災担当大臣"
195011062,"石井 啓一（いしい けいいち）","国土交通大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
195011066,"石井 啓一（いしい けいいち）","国土交通大臣","東京オリンピック・パラリンピック担当大臣"
195011071,"石井 啓一（いしい けいいち）","国土交通大臣","国土強靱化担当大臣"
195011072,"石井 啓一（いしい けいいち）","国土交通大臣","クールジャパン戦略担当大臣"
195011076,"石井 啓一（いしい けいいち）","国土交通大臣","知的財産戦略担当大臣"
195011079,"石井 啓一（いしい けいいち）","国土交通大臣","マイナンバー制度担当大臣"
195011082,"石井 啓一（いしい けいいち）","国土交通大臣","こども政策担当大臣"
195011083,"石井 啓一（いしい けいいち）","国土交通大臣","孤独・孤立対策担当大臣"
195011086,"石井 啓一（いしい けいいち）","国土交通大臣","経済安全保障担当大臣"
