"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
109004003,"千葉 景子（ちば けいこ）","法務大臣","総務大臣"
109004005,"千葉 景子（ちば けいこ）","法務大臣","外務大臣"
109004007,"千葉 景子（ちば けいこ）","法務大臣","文部科学大臣"
109004008,"千葉 景子（ちば けいこ）","法務大臣","厚生労働大臣"
109004011,"千葉 景子（ちば けいこ）","法務大臣","国土交通大臣"
109004012,"千葉 景子（ちば けいこ）","法務大臣","環境大臣"
109004013,"千葉 景子（ちば けいこ）","法務大臣","防衛大臣（防衛庁長官）"
109004014,"千葉 景子（ちば けいこ）","法務大臣","国家公安委員会委員長"
109004015,"千葉 景子（ちば けいこ）","法務大臣","防災担当大臣"
109004016,"千葉 景子（ちば けいこ）","法務大臣","行政改革担当大臣（行政刷新担当大臣）"
109004017,"千葉 景子（ちば けいこ）","法務大臣","沖縄及び北方対策担当大臣"
109004019,"千葉 景子（ちば けいこ）","法務大臣","経済財政政策担当大臣"
109004020,"千葉 景子（ちば けいこ）","法務大臣","科学技術政策担当大臣"
109004021,"千葉 景子（ちば けいこ）","法務大臣","規制改革担当大臣"
109004022,"千葉 景子（ちば けいこ）","法務大臣","男女共同参画担当大臣"
109004024,"千葉 景子（ちば けいこ）","法務大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
109004028,"千葉 景子（ちば けいこ）","法務大臣","少子化対策担当大臣"
109004029,"千葉 景子（ちば けいこ）","法務大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
109004039,"千葉 景子（ちば けいこ）","法務大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
109004040,"千葉 景子（ちば けいこ）","法務大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
109004043,"千葉 景子（ちば けいこ）","法務大臣","海洋政策担当大臣"
109004044,"千葉 景子（ちば けいこ）","法務大臣","拉致問題担当大臣"
109004045,"千葉 景子（ちば けいこ）","法務大臣","再チャレンジ担当大臣"
109004048,"千葉 景子（ちば けいこ）","法務大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
109004061,"千葉 景子（ちば けいこ）","法務大臣","原子力防災担当大臣"
109004062,"千葉 景子（ちば けいこ）","法務大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
109004066,"千葉 景子（ちば けいこ）","法務大臣","東京オリンピック・パラリンピック担当大臣"
109004071,"千葉 景子（ちば けいこ）","法務大臣","国土強靱化担当大臣"
109004072,"千葉 景子（ちば けいこ）","法務大臣","クールジャパン戦略担当大臣"
109004076,"千葉 景子（ちば けいこ）","法務大臣","知的財産戦略担当大臣"
109004079,"千葉 景子（ちば けいこ）","法務大臣","マイナンバー制度担当大臣"
109004082,"千葉 景子（ちば けいこ）","法務大臣","こども政策担当大臣"
109004083,"千葉 景子（ちば けいこ）","法務大臣","孤独・孤立対策担当大臣"
109004086,"千葉 景子（ちば けいこ）","法務大臣","経済安全保障担当大臣"
