"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
90004003,"上川 陽子（かみかわ ようこ）","法務大臣","総務大臣"
90004005,"上川 陽子（かみかわ ようこ）","法務大臣","外務大臣"
90004007,"上川 陽子（かみかわ ようこ）","法務大臣","文部科学大臣"
90004008,"上川 陽子（かみかわ ようこ）","法務大臣","厚生労働大臣"
90004011,"上川 陽子（かみかわ ようこ）","法務大臣","国土交通大臣"
90004012,"上川 陽子（かみかわ ようこ）","法務大臣","環境大臣"
90004013,"上川 陽子（かみかわ ようこ）","法務大臣","防衛大臣（防衛庁長官）"
90004014,"上川 陽子（かみかわ ようこ）","法務大臣","国家公安委員会委員長"
90004015,"上川 陽子（かみかわ ようこ）","法務大臣","防災担当大臣"
90004016,"上川 陽子（かみかわ ようこ）","法務大臣","行政改革担当大臣（行政刷新担当大臣）"
90004017,"上川 陽子（かみかわ ようこ）","法務大臣","沖縄及び北方対策担当大臣"
90004019,"上川 陽子（かみかわ ようこ）","法務大臣","経済財政政策担当大臣"
90004020,"上川 陽子（かみかわ ようこ）","法務大臣","科学技術政策担当大臣"
90004021,"上川 陽子（かみかわ ようこ）","法務大臣","規制改革担当大臣"
90004024,"上川 陽子（かみかわ ようこ）","法務大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
90004029,"上川 陽子（かみかわ ようこ）","法務大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
90004039,"上川 陽子（かみかわ ようこ）","法務大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
90004040,"上川 陽子（かみかわ ようこ）","法務大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
90004043,"上川 陽子（かみかわ ようこ）","法務大臣","海洋政策担当大臣"
90004044,"上川 陽子（かみかわ ようこ）","法務大臣","拉致問題担当大臣"
90004045,"上川 陽子（かみかわ ようこ）","法務大臣","再チャレンジ担当大臣"
90004048,"上川 陽子（かみかわ ようこ）","法務大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
90004061,"上川 陽子（かみかわ ようこ）","法務大臣","原子力防災担当大臣"
90004062,"上川 陽子（かみかわ ようこ）","法務大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
90004066,"上川 陽子（かみかわ ようこ）","法務大臣","東京オリンピック・パラリンピック担当大臣"
90004071,"上川 陽子（かみかわ ようこ）","法務大臣","国土強靱化担当大臣"
90004072,"上川 陽子（かみかわ ようこ）","法務大臣","クールジャパン戦略担当大臣"
90004076,"上川 陽子（かみかわ ようこ）","法務大臣","知的財産戦略担当大臣"
90004079,"上川 陽子（かみかわ ようこ）","法務大臣","マイナンバー制度担当大臣"
90004082,"上川 陽子（かみかわ ようこ）","法務大臣","こども政策担当大臣"
90004083,"上川 陽子（かみかわ ようこ）","法務大臣","孤独・孤立対策担当大臣"
90004086,"上川 陽子（かみかわ ようこ）","法務大臣","経済安全保障担当大臣"
90022003,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","総務大臣"
90022005,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","外務大臣"
90022007,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","文部科学大臣"
90022008,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","厚生労働大臣"
90022011,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","国土交通大臣"
90022012,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","環境大臣"
90022013,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","防衛大臣（防衛庁長官）"
90022014,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","国家公安委員会委員長"
90022015,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","防災担当大臣"
90022016,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","行政改革担当大臣（行政刷新担当大臣）"
90022017,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","沖縄及び北方対策担当大臣"
90022019,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","経済財政政策担当大臣"
90022020,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","科学技術政策担当大臣"
90022021,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","規制改革担当大臣"
90022024,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
90022029,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
90022039,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
90022040,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
90022043,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","海洋政策担当大臣"
90022044,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","拉致問題担当大臣"
90022045,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","再チャレンジ担当大臣"
90022048,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
90022061,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","原子力防災担当大臣"
90022062,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
90022066,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","東京オリンピック・パラリンピック担当大臣"
90022071,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","国土強靱化担当大臣"
90022072,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","クールジャパン戦略担当大臣"
90022076,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","知的財産戦略担当大臣"
90022079,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","マイナンバー制度担当大臣"
90022082,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","こども政策担当大臣"
90022083,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","孤独・孤立対策担当大臣"
90022086,"上川 陽子（かみかわ ようこ）","男女共同参画担当大臣","経済安全保障担当大臣"
90028003,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","総務大臣"
90028005,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","外務大臣"
90028007,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","文部科学大臣"
90028008,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","厚生労働大臣"
90028011,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","国土交通大臣"
90028012,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","環境大臣"
90028013,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","防衛大臣（防衛庁長官）"
90028014,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","国家公安委員会委員長"
90028015,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","防災担当大臣"
90028016,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","行政改革担当大臣（行政刷新担当大臣）"
90028017,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","沖縄及び北方対策担当大臣"
90028019,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","経済財政政策担当大臣"
90028020,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","科学技術政策担当大臣"
90028021,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","規制改革担当大臣"
90028024,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
90028029,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
90028039,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
90028040,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
90028043,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","海洋政策担当大臣"
90028044,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","拉致問題担当大臣"
90028045,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","再チャレンジ担当大臣"
90028048,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
90028061,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","原子力防災担当大臣"
90028062,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
90028066,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","東京オリンピック・パラリンピック担当大臣"
90028071,"上川 陽子（かみかわ ようこ）","少子化対策担当大臣","国土強靱化担当大臣"
