"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
221012003,"原田 義昭（はらだ よしあき）","環境大臣","総務大臣"
221012004,"原田 義昭（はらだ よしあき）","環境大臣","法務大臣"
221012005,"原田 義昭（はらだ よしあき）","環境大臣","外務大臣"
221012007,"原田 義昭（はらだ よしあき）","環境大臣","文部科学大臣"
221012008,"原田 義昭（はらだ よしあき）","環境大臣","厚生労働大臣"
221012011,"原田 義昭（はらだ よしあき）","環境大臣","国土交通大臣"
221012013,"原田 義昭（はらだ よしあき）","環境大臣","防衛大臣（防衛庁長官）"
221012014,"原田 義昭（はらだ よしあき）","環境大臣","国家公安委員会委員長"
221012015,"原田 義昭（はらだ よしあき）","環境大臣","防災担当大臣"
221012016,"原田 義昭（はらだ よしあき）","環境大臣","行政改革担当大臣（行政刷新担当大臣）"
221012017,"原田 義昭（はらだ よしあき）","環境大臣","沖縄及び北方対策担当大臣"
221012019,"原田 義昭（はらだ よしあき）","環境大臣","経済財政政策担当大臣"
221012020,"原田 義昭（はらだ よしあき）","環境大臣","科学技術政策担当大臣"
221012021,"原田 義昭（はらだ よしあき）","環境大臣","規制改革担当大臣"
221012022,"原田 義昭（はらだ よしあき）","環境大臣","男女共同参画担当大臣"
221012024,"原田 義昭（はらだ よしあき）","環境大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
221012028,"原田 義昭（はらだ よしあき）","環境大臣","少子化対策担当大臣"
221012029,"原田 義昭（はらだ よしあき）","環境大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
221012039,"原田 義昭（はらだ よしあき）","環境大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
221012040,"原田 義昭（はらだ よしあき）","環境大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
221012043,"原田 義昭（はらだ よしあき）","環境大臣","海洋政策担当大臣"
221012044,"原田 義昭（はらだ よしあき）","環境大臣","拉致問題担当大臣"
221012045,"原田 義昭（はらだ よしあき）","環境大臣","再チャレンジ担当大臣"
221012048,"原田 義昭（はらだ よしあき）","環境大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
221012062,"原田 義昭（はらだ よしあき）","環境大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
221012066,"原田 義昭（はらだ よしあき）","環境大臣","東京オリンピック・パラリンピック担当大臣"
