"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
114008003,"長妻 昭","厚生労働大臣","総務大臣"
114008004,"長妻 昭","厚生労働大臣","法務大臣"
114008005,"長妻 昭","厚生労働大臣","外務大臣"
114008007,"長妻 昭","厚生労働大臣","文部科学大臣"
114008011,"長妻 昭","厚生労働大臣","国土交通大臣"
114008012,"長妻 昭","厚生労働大臣","環境大臣"
114008013,"長妻 昭","厚生労働大臣","防衛大臣（防衛庁長官）"
114008014,"長妻 昭","厚生労働大臣","国家公安委員会委員長"
114008015,"長妻 昭","厚生労働大臣","防災担当大臣"
114008016,"長妻 昭","厚生労働大臣","行政改革担当大臣（行政刷新担当大臣）"
114008017,"長妻 昭","厚生労働大臣","沖縄及び北方対策担当大臣"
114008019,"長妻 昭","厚生労働大臣","経済財政政策担当大臣"
114008020,"長妻 昭","厚生労働大臣","科学技術政策担当大臣"
114008021,"長妻 昭","厚生労働大臣","規制改革担当大臣"
114008022,"長妻 昭","厚生労働大臣","男女共同参画担当大臣"
114008024,"長妻 昭","厚生労働大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
114008028,"長妻 昭","厚生労働大臣","少子化対策担当大臣"
114008029,"長妻 昭","厚生労働大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
114008039,"長妻 昭","厚生労働大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
114008040,"長妻 昭","厚生労働大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
114008043,"長妻 昭","厚生労働大臣","海洋政策担当大臣"
114008044,"長妻 昭","厚生労働大臣","拉致問題担当大臣"
114008045,"長妻 昭","厚生労働大臣","再チャレンジ担当大臣"
114008048,"長妻 昭","厚生労働大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
114008061,"長妻 昭","厚生労働大臣","原子力防災担当大臣"
114008062,"長妻 昭","厚生労働大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
114008066,"長妻 昭","厚生労働大臣","東京オリンピック・パラリンピック担当大臣"
114008071,"長妻 昭","厚生労働大臣","国土強靱化担当大臣"
114008072,"長妻 昭","厚生労働大臣","クールジャパン戦略担当大臣"
114008076,"長妻 昭","厚生労働大臣","知的財産戦略担当大臣"
114008079,"長妻 昭","厚生労働大臣","マイナンバー制度担当大臣"
114008082,"長妻 昭","厚生労働大臣","こども政策担当大臣"
114008083,"長妻 昭","厚生労働大臣","孤独・孤立対策担当大臣"
114008086,"長妻 昭","厚生労働大臣","経済安全保障担当大臣"
