"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
240048013,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","防衛大臣（防衛庁長官）"
240048014,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","国家公安委員会委員長"
240048015,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","防災担当大臣"
240048016,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","行政改革担当大臣
（行政刷新担当大臣）"
240048017,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","沖縄及び北方対策担当大臣"
240048019,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","経済財政政策担当大臣"
240048021,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","規制改革担当大臣"
240048022,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","男女共同参画担当大臣"
240048024,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","消費者及び食品安全担当大臣
（食品安全担当大臣）"
240048028,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","少子化対策担当大臣"
240048039,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
240048040,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
240048043,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","海洋政策担当大臣"
240048044,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","拉致問題担当大臣"
240048045,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","再チャレンジ担当大臣"
240048061,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","原子力防災担当大臣"
240048062,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
240048066,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","東京オリンピック・パラリンピック担当大臣"
240048071,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","国土強靱化担当大臣"
240048079,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","マイナンバー制度担当大臣"
240048082,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","こども政策担当大臣"
240048083,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","孤独・孤立対策担当大臣"
240048086,"竹本 直一","宇宙政策担当大臣
（宇宙開発担当大臣）","経済安全保障担当大臣"
240072003,"竹本 直一","クールジャパン戦略担当大臣","総務大臣"
240072004,"竹本 直一","クールジャパン戦略担当大臣","法務大臣"
240072005,"竹本 直一","クールジャパン戦略担当大臣","外務大臣"
