"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
262005003,"林芳正","外務大臣","総務大臣"
262005004,"林芳正","外務大臣","法務大臣"
262005007,"林芳正","外務大臣","文部科学大臣"
262005008,"林芳正","外務大臣","厚生労働大臣"
262005011,"林芳正","外務大臣","国土交通大臣"
262005012,"林芳正","外務大臣","環境大臣"
262005013,"林芳正","外務大臣","防衛大臣（防衛庁長官）"
262005014,"林芳正","外務大臣","国家公安委員会委員長"
262005015,"林芳正","外務大臣","防災担当大臣"
262005016,"林芳正","外務大臣","行政改革担当大臣（行政刷新担当大臣）"
262005017,"林芳正","外務大臣","沖縄及び北方対策担当大臣"
262005019,"林芳正","外務大臣","経済財政政策担当大臣"
262005020,"林芳正","外務大臣","科学技術政策担当大臣"
262005021,"林芳正","外務大臣","規制改革担当大臣"
262005022,"林芳正","外務大臣","男女共同参画担当大臣"
262005024,"林芳正","外務大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
262005028,"林芳正","外務大臣","少子化対策担当大臣"
262005029,"林芳正","外務大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
262005039,"林芳正","外務大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
262005040,"林芳正","外務大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
262005043,"林芳正","外務大臣","海洋政策担当大臣"
262005044,"林芳正","外務大臣","拉致問題担当大臣"
262005045,"林芳正","外務大臣","再チャレンジ担当大臣"
262005048,"林芳正","外務大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
262005061,"林芳正","外務大臣","原子力防災担当大臣"
262005062,"林芳正","外務大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
262005066,"林芳正","外務大臣","東京オリンピック・パラリンピック担当大臣"
262005071,"林芳正","外務大臣","国土強靱化担当大臣"
262005072,"林芳正","外務大臣","クールジャパン戦略担当大臣"
262005076,"林芳正","外務大臣","知的財産戦略担当大臣"
262005079,"林芳正","外務大臣","マイナンバー制度担当大臣"
262005082,"林芳正","外務大臣","こども政策担当大臣"
262005083,"林芳正","外務大臣","孤独・孤立対策担当大臣"
262005086,"林芳正","外務大臣","経済安全保障担当大臣"
