"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
183008003,"根本 匠","厚生労働大臣","総務大臣"
183008004,"根本 匠","厚生労働大臣","法務大臣"
183008005,"根本 匠","厚生労働大臣","外務大臣"
183008007,"根本 匠","厚生労働大臣","文部科学大臣"
183008011,"根本 匠","厚生労働大臣","国土交通大臣"
183008012,"根本 匠","厚生労働大臣","環境大臣"
183008013,"根本 匠","厚生労働大臣","防衛大臣（防衛庁長官）"
183008014,"根本 匠","厚生労働大臣","国家公安委員会委員長"
183008015,"根本 匠","厚生労働大臣","防災担当大臣"
183008016,"根本 匠","厚生労働大臣","行政改革担当大臣
（行政刷新担当大臣）"
183008017,"根本 匠","厚生労働大臣","沖縄及び北方対策担当大臣"
183008019,"根本 匠","厚生労働大臣","経済財政政策担当大臣"
183008020,"根本 匠","厚生労働大臣","科学技術政策担当大臣"
183008021,"根本 匠","厚生労働大臣","規制改革担当大臣"
183008022,"根本 匠","厚生労働大臣","男女共同参画担当大臣"
183008024,"根本 匠","厚生労働大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
183008028,"根本 匠","厚生労働大臣","少子化対策担当大臣"
183008029,"根本 匠","厚生労働大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
183008039,"根本 匠","厚生労働大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
183008040,"根本 匠","厚生労働大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
183008043,"根本 匠","厚生労働大臣","海洋政策担当大臣"
183008044,"根本 匠","厚生労働大臣","拉致問題担当大臣"
183008045,"根本 匠","厚生労働大臣","再チャレンジ担当大臣"
183008048,"根本 匠","厚生労働大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
183008061,"根本 匠","厚生労働大臣","原子力防災担当大臣"
183008062,"根本 匠","厚生労働大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
183008066,"根本 匠","厚生労働大臣","東京オリンピック・パラリンピック担当大臣"
183008071,"根本 匠","厚生労働大臣","国土強靱化担当大臣"
183008072,"根本 匠","厚生労働大臣","クールジャパン戦略担当大臣"
183008076,"根本 匠","厚生労働大臣","知的財産戦略担当大臣"
183008079,"根本 匠","厚生労働大臣","マイナンバー制度担当大臣"
183008082,"根本 匠","厚生労働大臣","こども政策担当大臣"
183008083,"根本 匠","厚生労働大臣","孤独・孤立対策担当大臣"
183008086,"根本 匠","厚生労働大臣","経済安全保障担当大臣"
