"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
134008003,"細川 律夫（ほそかわ りつお）","厚生労働大臣","総務大臣"
134008004,"細川 律夫（ほそかわ りつお）","厚生労働大臣","法務大臣"
134008005,"細川 律夫（ほそかわ りつお）","厚生労働大臣","外務大臣"
134008007,"細川 律夫（ほそかわ りつお）","厚生労働大臣","文部科学大臣"
134008011,"細川 律夫（ほそかわ りつお）","厚生労働大臣","国土交通大臣"
134008012,"細川 律夫（ほそかわ りつお）","厚生労働大臣","環境大臣"
134008013,"細川 律夫（ほそかわ りつお）","厚生労働大臣","防衛大臣（防衛庁長官）"
134008014,"細川 律夫（ほそかわ りつお）","厚生労働大臣","国家公安委員会委員長"
134008015,"細川 律夫（ほそかわ りつお）","厚生労働大臣","防災担当大臣"
134008016,"細川 律夫（ほそかわ りつお）","厚生労働大臣","行政改革担当大臣（行政刷新担当大臣）"
134008017,"細川 律夫（ほそかわ りつお）","厚生労働大臣","沖縄及び北方対策担当大臣"
134008019,"細川 律夫（ほそかわ りつお）","厚生労働大臣","経済財政政策担当大臣"
134008020,"細川 律夫（ほそかわ りつお）","厚生労働大臣","科学技術政策担当大臣"
134008021,"細川 律夫（ほそかわ りつお）","厚生労働大臣","規制改革担当大臣"
134008022,"細川 律夫（ほそかわ りつお）","厚生労働大臣","男女共同参画担当大臣"
134008024,"細川 律夫（ほそかわ りつお）","厚生労働大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
134008028,"細川 律夫（ほそかわ りつお）","厚生労働大臣","少子化対策担当大臣"
134008029,"細川 律夫（ほそかわ りつお）","厚生労働大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
134008039,"細川 律夫（ほそかわ りつお）","厚生労働大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
134008040,"細川 律夫（ほそかわ りつお）","厚生労働大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
134008043,"細川 律夫（ほそかわ りつお）","厚生労働大臣","海洋政策担当大臣"
134008044,"細川 律夫（ほそかわ りつお）","厚生労働大臣","拉致問題担当大臣"
134008045,"細川 律夫（ほそかわ りつお）","厚生労働大臣","再チャレンジ担当大臣"
134008048,"細川 律夫（ほそかわ りつお）","厚生労働大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
134008061,"細川 律夫（ほそかわ りつお）","厚生労働大臣","原子力防災担当大臣"
134008062,"細川 律夫（ほそかわ りつお）","厚生労働大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
134008066,"細川 律夫（ほそかわ りつお）","厚生労働大臣","東京オリンピック・パラリンピック担当大臣"
134008071,"細川 律夫（ほそかわ りつお）","厚生労働大臣","国土強靱化担当大臣"
134008072,"細川 律夫（ほそかわ りつお）","厚生労働大臣","クールジャパン戦略担当大臣"
134008076,"細川 律夫（ほそかわ りつお）","厚生労働大臣","知的財産戦略担当大臣"
134008079,"細川 律夫（ほそかわ りつお）","厚生労働大臣","マイナンバー制度担当大臣"
134008082,"細川 律夫（ほそかわ りつお）","厚生労働大臣","こども政策担当大臣"
134008083,"細川 律夫（ほそかわ りつお）","厚生労働大臣","孤独・孤立対策担当大臣"
134008086,"細川 律夫（ほそかわ りつお）","厚生労働大臣","経済安全保障担当大臣"
