"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
213012003,"中川 雅治","環境大臣","総務大臣"
213012004,"中川 雅治","環境大臣","法務大臣"
213012005,"中川 雅治","環境大臣","外務大臣"
213012007,"中川 雅治","環境大臣","文部科学大臣"
213012008,"中川 雅治","環境大臣","厚生労働大臣"
213012011,"中川 雅治","環境大臣","国土交通大臣"
213012013,"中川 雅治","環境大臣","防衛大臣（防衛庁長官）"
213012014,"中川 雅治","環境大臣","国家公安委員会委員長"
213012015,"中川 雅治","環境大臣","防災担当大臣"
213012016,"中川 雅治","環境大臣","行政改革担当大臣（行政刷新担当大臣）"
213012017,"中川 雅治","環境大臣","沖縄及び北方対策担当大臣"
213012019,"中川 雅治","環境大臣","経済財政政策担当大臣"
213012020,"中川 雅治","環境大臣","科学技術政策担当大臣"
213012021,"中川 雅治","環境大臣","規制改革担当大臣"
213012022,"中川 雅治","環境大臣","男女共同参画担当大臣"
213012024,"中川 雅治","環境大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
213012028,"中川 雅治","環境大臣","少子化対策担当大臣"
213012029,"中川 雅治","環境大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
213012039,"中川 雅治","環境大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
213012040,"中川 雅治","環境大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
213012043,"中川 雅治","環境大臣","海洋政策担当大臣"
213012044,"中川 雅治","環境大臣","拉致問題担当大臣"
213012045,"中川 雅治","環境大臣","再チャレンジ担当大臣"
213012048,"中川 雅治","環境大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
213012062,"中川 雅治","環境大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
213012066,"中川 雅治","環境大臣","東京オリンピック・パラリンピック担当大臣"
213012071,"中川 雅治","環境大臣","国土強靱化担当大臣"
213012072,"中川 雅治","環境大臣","クールジャパン戦略担当大臣"
213012076,"中川 雅治","環境大臣","知的財産戦略担当大臣"
213012079,"中川 雅治","環境大臣","マイナンバー制度担当大臣"
213012082,"中川 雅治","環境大臣","こども政策担当大臣"
213012083,"中川 雅治","環境大臣","孤独・孤立対策担当大臣"
213012086,"中川 雅治","環境大臣","経済安全保障担当大臣"
213061003,"中川 雅治","原子力防災担当大臣","総務大臣"
213061004,"中川 雅治","原子力防災担当大臣","法務大臣"
213061005,"中川 雅治","原子力防災担当大臣","外務大臣"
213061007,"中川 雅治","原子力防災担当大臣","文部科学大臣"
213061008,"中川 雅治","原子力防災担当大臣","厚生労働大臣"
213061011,"中川 雅治","原子力防災担当大臣","国土交通大臣"
213061013,"中川 雅治","原子力防災担当大臣","防衛大臣（防衛庁長官）"
213061014,"中川 雅治","原子力防災担当大臣","国家公安委員会委員長"
213061015,"中川 雅治","原子力防災担当大臣","防災担当大臣"
213061016,"中川 雅治","原子力防災担当大臣","行政改革担当大臣（行政刷新担当大臣）"
213061017,"中川 雅治","原子力防災担当大臣","沖縄及び北方対策担当大臣"
213061019,"中川 雅治","原子力防災担当大臣","経済財政政策担当大臣"
213061020,"中川 雅治","原子力防災担当大臣","科学技術政策担当大臣"
213061021,"中川 雅治","原子力防災担当大臣","規制改革担当大臣"
213061022,"中川 雅治","原子力防災担当大臣","男女共同参画担当大臣"
213061024,"中川 雅治","原子力防災担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
213061028,"中川 雅治","原子力防災担当大臣","少子化対策担当大臣"
213061029,"中川 雅治","原子力防災担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
213061039,"中川 雅治","原子力防災担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
213061040,"中川 雅治","原子力防災担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
213061043,"中川 雅治","原子力防災担当大臣","海洋政策担当大臣"
213061044,"中川 雅治","原子力防災担当大臣","拉致問題担当大臣"
213061045,"中川 雅治","原子力防災担当大臣","再チャレンジ担当大臣"
213061048,"中川 雅治","原子力防災担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
213061062,"中川 雅治","原子力防災担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
213061066,"中川 雅治","原子力防災担当大臣","東京オリンピック・パラリンピック担当大臣"
213061071,"中川 雅治","原子力防災担当大臣","国土強靱化担当大臣"
213061072,"中川 雅治","原子力防災担当大臣","クールジャパン戦略担当大臣"
213061076,"中川 雅治","原子力防災担当大臣","知的財産戦略担当大臣"
213061079,"中川 雅治","原子力防災担当大臣","マイナンバー制度担当大臣"
213061082,"中川 雅治","原子力防災担当大臣","こども政策担当大臣"
213061083,"中川 雅治","原子力防災担当大臣","孤独・孤立対策担当大臣"
213061086,"中川 雅治","原子力防災担当大臣","経済安全保障担当大臣"
