"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
116005003,"前原 誠司（まえはら せいじ）","外務大臣","総務大臣"
116005004,"前原 誠司（まえはら せいじ）","外務大臣","法務大臣"
116005007,"前原 誠司（まえはら せいじ）","外務大臣","文部科学大臣"
116005008,"前原 誠司（まえはら せいじ）","外務大臣","厚生労働大臣"
116005012,"前原 誠司（まえはら せいじ）","外務大臣","環境大臣"
116005013,"前原 誠司（まえはら せいじ）","外務大臣","防衛大臣（防衛庁長官）"
116005014,"前原 誠司（まえはら せいじ）","外務大臣","国家公安委員会委員長"
116005016,"前原 誠司（まえはら せいじ）","外務大臣","行政改革担当大臣（行政刷新担当大臣）"
116005021,"前原 誠司（まえはら せいじ）","外務大臣","規制改革担当大臣"
116005022,"前原 誠司（まえはら せいじ）","外務大臣","男女共同参画担当大臣"
116005024,"前原 誠司（まえはら せいじ）","外務大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
116005028,"前原 誠司（まえはら せいじ）","外務大臣","少子化対策担当大臣"
116005029,"前原 誠司（まえはら せいじ）","外務大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
116005039,"前原 誠司（まえはら せいじ）","外務大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
116005040,"前原 誠司（まえはら せいじ）","外務大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
116005044,"前原 誠司（まえはら せいじ）","外務大臣","拉致問題担当大臣"
116005045,"前原 誠司（まえはら せいじ）","外務大臣","再チャレンジ担当大臣"
116005061,"前原 誠司（まえはら せいじ）","外務大臣","原子力防災担当大臣"
116005062,"前原 誠司（まえはら せいじ）","外務大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
116005066,"前原 誠司（まえはら せいじ）","外務大臣","東京オリンピック・パラリンピック担当大臣"
116005071,"前原 誠司（まえはら せいじ）","外務大臣","国土強靱化担当大臣"
116005072,"前原 誠司（まえはら せいじ）","外務大臣","クールジャパン戦略担当大臣"
116005076,"前原 誠司（まえはら せいじ）","外務大臣","知的財産戦略担当大臣"
116005079,"前原 誠司（まえはら せいじ）","外務大臣","マイナンバー制度担当大臣"
116005082,"前原 誠司（まえはら せいじ）","外務大臣","こども政策担当大臣"
116005083,"前原 誠司（まえはら せいじ）","外務大臣","孤独・孤立対策担当大臣"
116005086,"前原 誠司（まえはら せいじ）","外務大臣","経済安全保障担当大臣"
116011003,"前原 誠司（まえはら せいじ）","国土交通大臣","総務大臣"
116011004,"前原 誠司（まえはら せいじ）","国土交通大臣","法務大臣"
116011007,"前原 誠司（まえはら せいじ）","国土交通大臣","文部科学大臣"
116011008,"前原 誠司（まえはら せいじ）","国土交通大臣","厚生労働大臣"
116011012,"前原 誠司（まえはら せいじ）","国土交通大臣","環境大臣"
116011013,"前原 誠司（まえはら せいじ）","国土交通大臣","防衛大臣（防衛庁長官）"
116011014,"前原 誠司（まえはら せいじ）","国土交通大臣","国家公安委員会委員長"
116011016,"前原 誠司（まえはら せいじ）","国土交通大臣","行政改革担当大臣（行政刷新担当大臣）"
116011021,"前原 誠司（まえはら せいじ）","国土交通大臣","規制改革担当大臣"
116011022,"前原 誠司（まえはら せいじ）","国土交通大臣","男女共同参画担当大臣"
116011024,"前原 誠司（まえはら せいじ）","国土交通大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
116011028,"前原 誠司（まえはら せいじ）","国土交通大臣","少子化対策担当大臣"
116011029,"前原 誠司（まえはら せいじ）","国土交通大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
116011039,"前原 誠司（まえはら せいじ）","国土交通大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
116011040,"前原 誠司（まえはら せいじ）","国土交通大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
116011044,"前原 誠司（まえはら せいじ）","国土交通大臣","拉致問題担当大臣"
116011045,"前原 誠司（まえはら せいじ）","国土交通大臣","再チャレンジ担当大臣"
116011061,"前原 誠司（まえはら せいじ）","国土交通大臣","原子力防災担当大臣"
116011062,"前原 誠司（まえはら せいじ）","国土交通大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
116011066,"前原 誠司（まえはら せいじ）","国土交通大臣","東京オリンピック・パラリンピック担当大臣"
116011071,"前原 誠司（まえはら せいじ）","国土交通大臣","国土強靱化担当大臣"
116011072,"前原 誠司（まえはら せいじ）","国土交通大臣","クールジャパン戦略担当大臣"
116011076,"前原 誠司（まえはら せいじ）","国土交通大臣","知的財産戦略担当大臣"
116011079,"前原 誠司（まえはら せいじ）","国土交通大臣","マイナンバー制度担当大臣"
116011082,"前原 誠司（まえはら せいじ）","国土交通大臣","こども政策担当大臣"
116011083,"前原 誠司（まえはら せいじ）","国土交通大臣","孤独・孤立対策担当大臣"
116011086,"前原 誠司（まえはら せいじ）","国土交通大臣","経済安全保障担当大臣"
116015003,"前原 誠司（まえはら せいじ）","防災担当大臣","総務大臣"
116015004,"前原 誠司（まえはら せいじ）","防災担当大臣","法務大臣"
116015007,"前原 誠司（まえはら せいじ）","防災担当大臣","文部科学大臣"
116015008,"前原 誠司（まえはら せいじ）","防災担当大臣","厚生労働大臣"
116015012,"前原 誠司（まえはら せいじ）","防災担当大臣","環境大臣"
116015013,"前原 誠司（まえはら せいじ）","防災担当大臣","防衛大臣（防衛庁長官）"
116015014,"前原 誠司（まえはら せいじ）","防災担当大臣","国家公安委員会委員長"
116015016,"前原 誠司（まえはら せいじ）","防災担当大臣","行政改革担当大臣（行政刷新担当大臣）"
116015021,"前原 誠司（まえはら せいじ）","防災担当大臣","規制改革担当大臣"
116015022,"前原 誠司（まえはら せいじ）","防災担当大臣","男女共同参画担当大臣"
116015024,"前原 誠司（まえはら せいじ）","防災担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
116015028,"前原 誠司（まえはら せいじ）","防災担当大臣","少子化対策担当大臣"
116015029,"前原 誠司（まえはら せいじ）","防災担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
116015039,"前原 誠司（まえはら せいじ）","防災担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
116015040,"前原 誠司（まえはら せいじ）","防災担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
116015044,"前原 誠司（まえはら せいじ）","防災担当大臣","拉致問題担当大臣"
116015045,"前原 誠司（まえはら せいじ）","防災担当大臣","再チャレンジ担当大臣"
116015061,"前原 誠司（まえはら せいじ）","防災担当大臣","原子力防災担当大臣"
