"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
150028061,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","原子力防災担当大臣"
150028062,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
150028066,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","東京オリンピック・パラリンピック担当大臣"
150028071,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","国土強靱化担当大臣"
150028072,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","クールジャパン戦略担当大臣"
150028076,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","知的財産戦略担当大臣"
150028079,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","マイナンバー制度担当大臣"
150028082,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","こども政策担当大臣"
150028083,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","孤独・孤立対策担当大臣"
150028086,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","経済安全保障担当大臣"
