"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
29003004,"竹中 平蔵（たけなか へいぞう）","総務大臣","法務大臣"
29003005,"竹中 平蔵（たけなか へいぞう）","総務大臣","外務大臣"
29003007,"竹中 平蔵（たけなか へいぞう）","総務大臣","文部科学大臣"
29003008,"竹中 平蔵（たけなか へいぞう）","総務大臣","厚生労働大臣"
29003011,"竹中 平蔵（たけなか へいぞう）","総務大臣","国土交通大臣"
29003012,"竹中 平蔵（たけなか へいぞう）","総務大臣","環境大臣"
29003013,"竹中 平蔵（たけなか へいぞう）","総務大臣","防衛大臣（防衛庁長官）"
29003014,"竹中 平蔵（たけなか へいぞう）","総務大臣","国家公安委員会委員長"
29003015,"竹中 平蔵（たけなか へいぞう）","総務大臣","防災担当大臣"
29003016,"竹中 平蔵（たけなか へいぞう）","総務大臣","行政改革担当大臣（行政刷新担当大臣）"
29003017,"竹中 平蔵（たけなか へいぞう）","総務大臣","沖縄及び北方対策担当大臣"
29003020,"竹中 平蔵（たけなか へいぞう）","総務大臣","科学技術政策担当大臣"
29003021,"竹中 平蔵（たけなか へいぞう）","総務大臣","規制改革担当大臣"
29003022,"竹中 平蔵（たけなか へいぞう）","総務大臣","男女共同参画担当大臣"
29003024,"竹中 平蔵（たけなか へいぞう）","総務大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
29003028,"竹中 平蔵（たけなか へいぞう）","総務大臣","少子化対策担当大臣"
29003029,"竹中 平蔵（たけなか へいぞう）","総務大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
29003039,"竹中 平蔵（たけなか へいぞう）","総務大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
29003040,"竹中 平蔵（たけなか へいぞう）","総務大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
29003043,"竹中 平蔵（たけなか へいぞう）","総務大臣","海洋政策担当大臣"
29003044,"竹中 平蔵（たけなか へいぞう）","総務大臣","拉致問題担当大臣"
29003045,"竹中 平蔵（たけなか へいぞう）","総務大臣","再チャレンジ担当大臣"
29003048,"竹中 平蔵（たけなか へいぞう）","総務大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
29003061,"竹中 平蔵（たけなか へいぞう）","総務大臣","原子力防災担当大臣"
29003062,"竹中 平蔵（たけなか へいぞう）","総務大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
29003066,"竹中 平蔵（たけなか へいぞう）","総務大臣","東京オリンピック・パラリンピック担当大臣"
29003071,"竹中 平蔵（たけなか へいぞう）","総務大臣","国土強靱化担当大臣"
29003072,"竹中 平蔵（たけなか へいぞう）","総務大臣","クールジャパン戦略担当大臣"
29003076,"竹中 平蔵（たけなか へいぞう）","総務大臣","知的財産戦略担当大臣"
29003079,"竹中 平蔵（たけなか へいぞう）","総務大臣","マイナンバー制度担当大臣"
29003082,"竹中 平蔵（たけなか へいぞう）","総務大臣","こども政策担当大臣"
29003083,"竹中 平蔵（たけなか へいぞう）","総務大臣","孤独・孤立対策担当大臣"
29003086,"竹中 平蔵（たけなか へいぞう）","総務大臣","経済安全保障担当大臣"
