"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
190017003,"山口 俊一","沖縄及び北方対策担当大臣","総務大臣"
190017004,"山口 俊一","沖縄及び北方対策担当大臣","法務大臣"
190017005,"山口 俊一","沖縄及び北方対策担当大臣","外務大臣"
190017007,"山口 俊一","沖縄及び北方対策担当大臣","文部科学大臣"
190017008,"山口 俊一","沖縄及び北方対策担当大臣","厚生労働大臣"
190017011,"山口 俊一","沖縄及び北方対策担当大臣","国土交通大臣"
190017012,"山口 俊一","沖縄及び北方対策担当大臣","環境大臣"
190017013,"山口 俊一","沖縄及び北方対策担当大臣","防衛大臣（防衛庁長官）"
190017014,"山口 俊一","沖縄及び北方対策担当大臣","国家公安委員会委員長"
190017015,"山口 俊一","沖縄及び北方対策担当大臣","防災担当大臣"
190017016,"山口 俊一","沖縄及び北方対策担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
190017019,"山口 俊一","沖縄及び北方対策担当大臣","経済財政政策担当大臣"
190017021,"山口 俊一","沖縄及び北方対策担当大臣","規制改革担当大臣"
190017022,"山口 俊一","沖縄及び北方対策担当大臣","男女共同参画担当大臣"
190017028,"山口 俊一","沖縄及び北方対策担当大臣","少子化対策担当大臣"
190017039,"山口 俊一","沖縄及び北方対策担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
190017040,"山口 俊一","沖縄及び北方対策担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
190017043,"山口 俊一","沖縄及び北方対策担当大臣","海洋政策担当大臣"
190017044,"山口 俊一","沖縄及び北方対策担当大臣","拉致問題担当大臣"
190017061,"山口 俊一","沖縄及び北方対策担当大臣","原子力防災担当大臣"
190017062,"山口 俊一","沖縄及び北方対策担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
190017066,"山口 俊一","沖縄及び北方対策担当大臣","東京オリンピック・パラリンピック担当大臣"
190017071,"山口 俊一","沖縄及び北方対策担当大臣","国土強靱化担当大臣"
190017076,"山口 俊一","沖縄及び北方対策担当大臣","知的財産戦略担当大臣"
190017079,"山口 俊一","沖縄及び北方対策担当大臣","マイナンバー制度担当大臣"
190017082,"山口 俊一","沖縄及び北方対策担当大臣","こども政策担当大臣"
