"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
78003004,"高市 早苗","総務大臣","法務大臣"
78003005,"高市 早苗","総務大臣","外務大臣"
78003007,"高市 早苗","総務大臣","文部科学大臣"
78003008,"高市 早苗","総務大臣","厚生労働大臣"
78003011,"高市 早苗","総務大臣","国土交通大臣"
78003012,"高市 早苗","総務大臣","環境大臣"
78003013,"高市 早苗","総務大臣","防衛大臣（防衛庁長官）"
78003014,"高市 早苗","総務大臣","国家公安委員会委員長"
78003015,"高市 早苗","総務大臣","防災担当大臣"
78003016,"高市 早苗","総務大臣","行政改革担当大臣
（行政刷新担当大臣）"
78003019,"高市 早苗","総務大臣","経済財政政策担当大臣"
78003021,"高市 早苗","総務大臣","規制改革担当大臣"
78003029,"高市 早苗","総務大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
78003039,"高市 早苗","総務大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
78003040,"高市 早苗","総務大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
78003043,"高市 早苗","総務大臣","海洋政策担当大臣"
78003044,"高市 早苗","総務大臣","拉致問題担当大臣"
78003045,"高市 早苗","総務大臣","再チャレンジ担当大臣"
78003061,"高市 早苗","総務大臣","原子力防災担当大臣"
78003062,"高市 早苗","総務大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
78003066,"高市 早苗","総務大臣","東京オリンピック・パラリンピック担当大臣"
78003071,"高市 早苗","総務大臣","国土強靱化担当大臣"
78003082,"高市 早苗","総務大臣","こども政策担当大臣"
78003083,"高市 早苗","総務大臣","孤独・孤立対策担当大臣"
78017004,"高市 早苗","沖縄及び北方対策担当大臣","法務大臣"
78017005,"高市 早苗","沖縄及び北方対策担当大臣","外務大臣"
78017007,"高市 早苗","沖縄及び北方対策担当大臣","文部科学大臣"
78017008,"高市 早苗","沖縄及び北方対策担当大臣","厚生労働大臣"
78017011,"高市 早苗","沖縄及び北方対策担当大臣","国土交通大臣"
78017012,"高市 早苗","沖縄及び北方対策担当大臣","環境大臣"
78017013,"高市 早苗","沖縄及び北方対策担当大臣","防衛大臣（防衛庁長官）"
78017014,"高市 早苗","沖縄及び北方対策担当大臣","国家公安委員会委員長"
78017015,"高市 早苗","沖縄及び北方対策担当大臣","防災担当大臣"
78017016,"高市 早苗","沖縄及び北方対策担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
78017019,"高市 早苗","沖縄及び北方対策担当大臣","経済財政政策担当大臣"
