"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
207017003,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","総務大臣"
207017004,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","法務大臣"
207017005,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","外務大臣"
207017007,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","文部科学大臣"
207017008,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","厚生労働大臣"
207017011,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","国土交通大臣"
207017012,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","環境大臣"
207017013,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","防衛大臣（防衛庁長官）"
207017014,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","国家公安委員会委員長"
207017015,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","防災担当大臣"
207017016,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","行政改革担当大臣（行政刷新担当大臣）"
207017019,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","経済財政政策担当大臣"
207017021,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","規制改革担当大臣"
207017022,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","男女共同参画担当大臣"
207017024,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
207017028,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","少子化対策担当大臣"
207017039,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
207017040,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
207017043,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","海洋政策担当大臣"
207017044,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","拉致問題担当大臣"
207017045,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","再チャレンジ担当大臣"
207017061,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","原子力防災担当大臣"
207017062,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
207017066,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","東京オリンピック・パラリンピック担当大臣"
207017071,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","国土強靱化担当大臣"
207017079,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","マイナンバー制度担当大臣"
207017082,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","こども政策担当大臣"
207017083,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","孤独・孤立対策担当大臣"
207017086,"鶴保 庸介（つるほ ようすけ）","沖縄及び北方対策担当大臣","経済安全保障担当大臣"
207020003,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","総務大臣"
207020004,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","法務大臣"
207020005,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","外務大臣"
207020007,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","文部科学大臣"
207020008,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","厚生労働大臣"
207020011,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","国土交通大臣"
207020012,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","環境大臣"
207020013,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","防衛大臣（防衛庁長官）"
207020014,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","国家公安委員会委員長"
207020015,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","防災担当大臣"
207020016,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","行政改革担当大臣（行政刷新担当大臣）"
207020019,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","経済財政政策担当大臣"
207020021,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","規制改革担当大臣"
207020022,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","男女共同参画担当大臣"
207020024,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
207020028,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","少子化対策担当大臣"
207020039,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
207020040,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
207020043,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","海洋政策担当大臣"
207020044,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","拉致問題担当大臣"
207020045,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","再チャレンジ担当大臣"
207020061,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","原子力防災担当大臣"
207020062,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
207020066,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","東京オリンピック・パラリンピック担当大臣"
207020071,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","国土強靱化担当大臣"
207020079,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","マイナンバー制度担当大臣"
207020082,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","こども政策担当大臣"
207020083,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","孤独・孤立対策担当大臣"
207020086,"鶴保 庸介（つるほ ようすけ）","科学技術政策担当大臣","経済安全保障担当大臣"
207029003,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","総務大臣"
207029004,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","法務大臣"
207029005,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","外務大臣"
207029007,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","文部科学大臣"
207029008,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","厚生労働大臣"
207029011,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","国土交通大臣"
207029012,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","環境大臣"
207029013,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","防衛大臣（防衛庁長官）"
207029014,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","国家公安委員会委員長"
207029015,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","防災担当大臣"
207029016,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","行政改革担当大臣（行政刷新担当大臣）"
207029019,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","経済財政政策担当大臣"
207029021,"鶴保 庸介（つるほ ようすけ）","デジタル大臣（情報通信技術（IT）政策担当大臣）","規制改革担当大臣"
