"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
159004003,"滝 実（たき まこと）","法務大臣","総務大臣"
159004005,"滝 実（たき まこと）","法務大臣","外務大臣"
159004007,"滝 実（たき まこと）","法務大臣","文部科学大臣"
159004008,"滝 実（たき まこと）","法務大臣","厚生労働大臣"
159004011,"滝 実（たき まこと）","法務大臣","国土交通大臣"
159004012,"滝 実（たき まこと）","法務大臣","環境大臣"
159004013,"滝 実（たき まこと）","法務大臣","防衛大臣（防衛庁長官）"
159004014,"滝 実（たき まこと）","法務大臣","国家公安委員会委員長"
159004015,"滝 実（たき まこと）","法務大臣","防災担当大臣"
159004016,"滝 実（たき まこと）","法務大臣","行政改革担当大臣（行政刷新担当大臣）"
159004017,"滝 実（たき まこと）","法務大臣","沖縄及び北方対策担当大臣"
159004019,"滝 実（たき まこと）","法務大臣","経済財政政策担当大臣"
159004020,"滝 実（たき まこと）","法務大臣","科学技術政策担当大臣"
159004021,"滝 実（たき まこと）","法務大臣","規制改革担当大臣"
159004022,"滝 実（たき まこと）","法務大臣","男女共同参画担当大臣"
159004024,"滝 実（たき まこと）","法務大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
159004028,"滝 実（たき まこと）","法務大臣","少子化対策担当大臣"
159004029,"滝 実（たき まこと）","法務大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
159004039,"滝 実（たき まこと）","法務大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
159004040,"滝 実（たき まこと）","法務大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
159004043,"滝 実（たき まこと）","法務大臣","海洋政策担当大臣"
159004044,"滝 実（たき まこと）","法務大臣","拉致問題担当大臣"
159004045,"滝 実（たき まこと）","法務大臣","再チャレンジ担当大臣"
159004048,"滝 実（たき まこと）","法務大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
159004061,"滝 実（たき まこと）","法務大臣","原子力防災担当大臣"
159004062,"滝 実（たき まこと）","法務大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
159004066,"滝 実（たき まこと）","法務大臣","東京オリンピック・パラリンピック担当大臣"
159004071,"滝 実（たき まこと）","法務大臣","国土強靱化担当大臣"
159004072,"滝 実（たき まこと）","法務大臣","クールジャパン戦略担当大臣"
159004076,"滝 実（たき まこと）","法務大臣","知的財産戦略担当大臣"
159004079,"滝 実（たき まこと）","法務大臣","マイナンバー制度担当大臣"
159004082,"滝 実（たき まこと）","法務大臣","こども政策担当大臣"
159004083,"滝 実（たき まこと）","法務大臣","孤独・孤立対策担当大臣"
159004086,"滝 実（たき まこと）","法務大臣","経済安全保障担当大臣"
