"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
21005003,"田中 眞紀子（たなか まきこ）","外務大臣","総務大臣"
21005004,"田中 眞紀子（たなか まきこ）","外務大臣","法務大臣"
21005008,"田中 眞紀子（たなか まきこ）","外務大臣","厚生労働大臣"
21005011,"田中 眞紀子（たなか まきこ）","外務大臣","国土交通大臣"
21005012,"田中 眞紀子（たなか まきこ）","外務大臣","環境大臣"
21005013,"田中 眞紀子（たなか まきこ）","外務大臣","防衛大臣（防衛庁長官）"
21005014,"田中 眞紀子（たなか まきこ）","外務大臣","国家公安委員会委員長"
21005015,"田中 眞紀子（たなか まきこ）","外務大臣","防災担当大臣"
21005016,"田中 眞紀子（たなか まきこ）","外務大臣","行政改革担当大臣（行政刷新担当大臣）"
21005017,"田中 眞紀子（たなか まきこ）","外務大臣","沖縄及び北方対策担当大臣"
21005019,"田中 眞紀子（たなか まきこ）","外務大臣","経済財政政策担当大臣"
21005020,"田中 眞紀子（たなか まきこ）","外務大臣","科学技術政策担当大臣"
21005021,"田中 眞紀子（たなか まきこ）","外務大臣","規制改革担当大臣"
21005022,"田中 眞紀子（たなか まきこ）","外務大臣","男女共同参画担当大臣"
21005024,"田中 眞紀子（たなか まきこ）","外務大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
21005028,"田中 眞紀子（たなか まきこ）","外務大臣","少子化対策担当大臣"
21005029,"田中 眞紀子（たなか まきこ）","外務大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
21005039,"田中 眞紀子（たなか まきこ）","外務大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
21005040,"田中 眞紀子（たなか まきこ）","外務大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
21005043,"田中 眞紀子（たなか まきこ）","外務大臣","海洋政策担当大臣"
21005044,"田中 眞紀子（たなか まきこ）","外務大臣","拉致問題担当大臣"
21005045,"田中 眞紀子（たなか まきこ）","外務大臣","再チャレンジ担当大臣"
21005048,"田中 眞紀子（たなか まきこ）","外務大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
21005061,"田中 眞紀子（たなか まきこ）","外務大臣","原子力防災担当大臣"
21005062,"田中 眞紀子（たなか まきこ）","外務大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
21005066,"田中 眞紀子（たなか まきこ）","外務大臣","東京オリンピック・パラリンピック担当大臣"
21005071,"田中 眞紀子（たなか まきこ）","外務大臣","国土強靱化担当大臣"
21005072,"田中 眞紀子（たなか まきこ）","外務大臣","クールジャパン戦略担当大臣"
21005076,"田中 眞紀子（たなか まきこ）","外務大臣","知的財産戦略担当大臣"
21005079,"田中 眞紀子（たなか まきこ）","外務大臣","マイナンバー制度担当大臣"
21005082,"田中 眞紀子（たなか まきこ）","外務大臣","こども政策担当大臣"
21005083,"田中 眞紀子（たなか まきこ）","外務大臣","孤独・孤立対策担当大臣"
21005086,"田中 眞紀子（たなか まきこ）","外務大臣","経済安全保障担当大臣"
21007003,"田中 眞紀子（たなか まきこ）","文部科学大臣","総務大臣"
21007004,"田中 眞紀子（たなか まきこ）","文部科学大臣","法務大臣"
21007008,"田中 眞紀子（たなか まきこ）","文部科学大臣","厚生労働大臣"
21007011,"田中 眞紀子（たなか まきこ）","文部科学大臣","国土交通大臣"
21007012,"田中 眞紀子（たなか まきこ）","文部科学大臣","環境大臣"
21007013,"田中 眞紀子（たなか まきこ）","文部科学大臣","防衛大臣（防衛庁長官）"
21007014,"田中 眞紀子（たなか まきこ）","文部科学大臣","国家公安委員会委員長"
21007015,"田中 眞紀子（たなか まきこ）","文部科学大臣","防災担当大臣"
21007016,"田中 眞紀子（たなか まきこ）","文部科学大臣","行政改革担当大臣（行政刷新担当大臣）"
21007017,"田中 眞紀子（たなか まきこ）","文部科学大臣","沖縄及び北方対策担当大臣"
21007019,"田中 眞紀子（たなか まきこ）","文部科学大臣","経済財政政策担当大臣"
21007020,"田中 眞紀子（たなか まきこ）","文部科学大臣","科学技術政策担当大臣"
21007021,"田中 眞紀子（たなか まきこ）","文部科学大臣","規制改革担当大臣"
21007022,"田中 眞紀子（たなか まきこ）","文部科学大臣","男女共同参画担当大臣"
21007024,"田中 眞紀子（たなか まきこ）","文部科学大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
21007028,"田中 眞紀子（たなか まきこ）","文部科学大臣","少子化対策担当大臣"
21007029,"田中 眞紀子（たなか まきこ）","文部科学大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
21007039,"田中 眞紀子（たなか まきこ）","文部科学大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
21007040,"田中 眞紀子（たなか まきこ）","文部科学大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
21007043,"田中 眞紀子（たなか まきこ）","文部科学大臣","海洋政策担当大臣"
21007044,"田中 眞紀子（たなか まきこ）","文部科学大臣","拉致問題担当大臣"
21007045,"田中 眞紀子（たなか まきこ）","文部科学大臣","再チャレンジ担当大臣"
21007048,"田中 眞紀子（たなか まきこ）","文部科学大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
21007061,"田中 眞紀子（たなか まきこ）","文部科学大臣","原子力防災担当大臣"
21007062,"田中 眞紀子（たなか まきこ）","文部科学大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
21007066,"田中 眞紀子（たなか まきこ）","文部科学大臣","東京オリンピック・パラリンピック担当大臣"
21007071,"田中 眞紀子（たなか まきこ）","文部科学大臣","国土強靱化担当大臣"
21007072,"田中 眞紀子（たなか まきこ）","文部科学大臣","クールジャパン戦略担当大臣"
21007076,"田中 眞紀子（たなか まきこ）","文部科学大臣","知的財産戦略担当大臣"
21007079,"田中 眞紀子（たなか まきこ）","文部科学大臣","マイナンバー制度担当大臣"
21007082,"田中 眞紀子（たなか まきこ）","文部科学大臣","こども政策担当大臣"
21007083,"田中 眞紀子（たなか まきこ）","文部科学大臣","孤独・孤立対策担当大臣"
21007086,"田中 眞紀子（たなか まきこ）","文部科学大臣","経済安全保障担当大臣"
