"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
52014003,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","総務大臣"
52014004,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","法務大臣"
52014005,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","外務大臣"
52014007,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","文部科学大臣"
52014008,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","厚生労働大臣"
52014011,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","国土交通大臣"
52014012,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","環境大臣"
52014013,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","防衛大臣（防衛庁長官）"
52014016,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","行政改革担当大臣（行政刷新担当大臣）"
52014017,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","沖縄及び北方対策担当大臣"
52014019,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","経済財政政策担当大臣"
52014020,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","科学技術政策担当大臣"
52014021,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","規制改革担当大臣"
52014022,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","男女共同参画担当大臣"
52014024,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","消費者及び食品安全担当大臣（食品安全担当大臣）"
52014028,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","少子化対策担当大臣"
52014029,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","デジタル大臣（情報通信技術（IT）政策担当大臣）"
52014039,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","国家公務員制度担当大臣（公務員制度改革担当大臣）"
52014040,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
52014043,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","海洋政策担当大臣"
52014044,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","拉致問題担当大臣"
52014045,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","再チャレンジ担当大臣"
52014048,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","宇宙政策担当大臣（宇宙開発担当大臣）"
52014061,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","原子力防災担当大臣"
52014062,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
52014066,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","東京オリンピック・パラリンピック担当大臣"
52014071,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","国土強靱化担当大臣"
52014072,"村田 吉隆（むらた よしたか）","国家公安委員会委員長","クールジャパン戦略担当大臣"
