"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
218017003,"福井 照","沖縄及び北方対策担当大臣","総務大臣"
218017004,"福井 照","沖縄及び北方対策担当大臣","法務大臣"
218017005,"福井 照","沖縄及び北方対策担当大臣","外務大臣"
218017007,"福井 照","沖縄及び北方対策担当大臣","文部科学大臣"
218017008,"福井 照","沖縄及び北方対策担当大臣","厚生労働大臣"
218017011,"福井 照","沖縄及び北方対策担当大臣","国土交通大臣"
218017012,"福井 照","沖縄及び北方対策担当大臣","環境大臣"
218017013,"福井 照","沖縄及び北方対策担当大臣","防衛大臣（防衛庁長官）"
218017014,"福井 照","沖縄及び北方対策担当大臣","国家公安委員会委員長"
218017015,"福井 照","沖縄及び北方対策担当大臣","防災担当大臣"
218017016,"福井 照","沖縄及び北方対策担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
218017019,"福井 照","沖縄及び北方対策担当大臣","経済財政政策担当大臣"
218017020,"福井 照","沖縄及び北方対策担当大臣","科学技術政策担当大臣"
218017021,"福井 照","沖縄及び北方対策担当大臣","規制改革担当大臣"
218017022,"福井 照","沖縄及び北方対策担当大臣","男女共同参画担当大臣"
218017028,"福井 照","沖縄及び北方対策担当大臣","少子化対策担当大臣"
218017029,"福井 照","沖縄及び北方対策担当大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
218017039,"福井 照","沖縄及び北方対策担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
218017040,"福井 照","沖縄及び北方対策担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
218017044,"福井 照","沖縄及び北方対策担当大臣","拉致問題担当大臣"
218017045,"福井 照","沖縄及び北方対策担当大臣","再チャレンジ担当大臣"
218017048,"福井 照","沖縄及び北方対策担当大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
218017061,"福井 照","沖縄及び北方対策担当大臣","原子力防災担当大臣"
218017062,"福井 照","沖縄及び北方対策担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
218017066,"福井 照","沖縄及び北方対策担当大臣","東京オリンピック・パラリンピック担当大臣"
218017071,"福井 照","沖縄及び北方対策担当大臣","国土強靱化担当大臣"
218017072,"福井 照","沖縄及び北方対策担当大臣","クールジャパン戦略担当大臣"
218017076,"福井 照","沖縄及び北方対策担当大臣","知的財産戦略担当大臣"
218017079,"福井 照","沖縄及び北方対策担当大臣","マイナンバー制度担当大臣"
218017082,"福井 照","沖縄及び北方対策担当大臣","こども政策担当大臣"
