"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
25013003,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","総務大臣"
25013004,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","法務大臣"
25013005,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","外務大臣"
25013007,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","文部科学大臣"
25013008,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","厚生労働大臣"
25013011,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","国土交通大臣"
25013012,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","環境大臣"
25013014,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","国家公安委員会委員長"
25013015,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","防災担当大臣"
25013016,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","行政改革担当大臣（行政刷新担当大臣）"
25013017,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","沖縄及び北方対策担当大臣"
25013019,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","経済財政政策担当大臣"
25013020,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","科学技術政策担当大臣"
25013021,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","規制改革担当大臣"
25013022,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","男女共同参画担当大臣"
25013024,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","消費者及び食品安全担当大臣（食品安全担当大臣）"
25013028,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","少子化対策担当大臣"
25013029,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","デジタル大臣（情報通信技術（IT）政策担当大臣）"
25013039,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","国家公務員制度担当大臣（公務員制度改革担当大臣）"
25013040,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
25013043,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","海洋政策担当大臣"
25013044,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","拉致問題担当大臣"
25013045,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","再チャレンジ担当大臣"
25013048,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","宇宙政策担当大臣（宇宙開発担当大臣）"
25013061,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","原子力防災担当大臣"
25013062,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
25013066,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","東京オリンピック・パラリンピック担当大臣"
25013071,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","国土強靱化担当大臣"
25013072,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","クールジャパン戦略担当大臣"
25013076,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","知的財産戦略担当大臣"
25013079,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","マイナンバー制度担当大臣"
25013082,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","こども政策担当大臣"
25013083,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","孤独・孤立対策担当大臣"
25013086,"中谷 元（なかたに げん）","防衛大臣（防衛庁長官）","経済安全保障担当大臣"
